Number of elements 23380
     0 : -8.1597663e-23  8.6645676e-23 -4.0640488e-23
     1 :  1.6042647e-17  1.0455136e-17  3.5161933e-18
     2 : -3.6213167e-102 -1.6834081e-102 8.6494047e-102
     3 :  1.4033147e-62  1.5536753e-61  4.4206912e-62
     4 : -9.1605187e-102 3.6122003e-101 -1.2811741e-101
     5 : -4.0096423e-63 -3.0212206e-62  9.4831720e-62
     6 :  3.7033423e-12 -2.0093215e-12  4.8048100e-12
     7 :  2.5569255e-24 -1.3475608e-24 -6.6219048e-25
     8 :  3.0951996e-23 -9.4378651e-23 -2.2372841e-23
     9 : -6.1365799e-23  1.0475887e-22  1.2341073e-22
    10 :  2.1663674e-02  3.9030763e-02  5.7517593e-02
    11 :  8.6440571e-20  2.2352524e-19 -3.4889847e-20
    12 :  2.1575562e-12  2.0357437e-12 -1.4161993e-12
    13 : -2.3815286e-16  9.3438687e-17  1.5693395e-16
    14 : -1.2548815e-08 -6.9078481e-08 -1.1012828e-07
    15 :  6.5484381e-20 -4.4935211e-20 -1.1277736e-20
    16 :  5.5034418e-09  8.6244046e-09  5.0299498e-08
    17 :  1.4191798e-20  3.8590492e-20 -1.1993722e-20
    18 :  3.5750124e-41  7.0322896e-40 -6.3966696e-41
    19 :  1.4407335e-22 -6.2021177e-23  1.3692725e-22
    20 :  3.9615519e-04  1.6168774e-04  3.8753877e-04
    21 : -1.4694454e-11  8.2853168e-12 -5.0337708e-12
    22 : -7.1456430e-91 -7.7919106e-91  2.5384238e-90
    23 : -1.9971791e-04 -1.2887479e-04 -2.8090740e-04
    24 : -4.2142771e-72  3.8064718e-72 -7.1499758e-72
    25 :  6.7625232e-05  1.1754108e-05 -6.4900804e-05
    26 :  2.8631858e-08 -5.5425945e-09  2.7115626e-08
    27 :  3.1214231e-06 -6.1444829e-06 -1.5189495e-06
    28 : -5.7911387e-02 -3.4588834e-02 -4.8888644e-02
    29 : -2.8591879e-16 -2.7298076e-16  2.8603134e-17
    30 :  1.8620867e-03  1.9517381e-04  2.9302561e-04
    31 : -4.2076820e-65  8.0149325e-65 -2.3779200e-66
    32 : -1.4779567e-14  3.7294064e-14  2.4433549e-14
    33 : -2.2600987e-05 -1.0671412e-04  4.8996989e-05
    34 :  9.3390951e-23  3.6979680e-22 -7.3885845e-22
    35 :  7.3660518e-05  4.6995927e-05  6.8487037e-06
    36 : -1.0848122e-21 -3.9998082e-22 -1.4648305e-21
    37 : -8.1305567e-17 -4.9736342e-15  8.0381106e-15
