Number of elements 23380
     0 :  1.1975481e-05 -5.6707434e-06  8.5687384e-06
     1 : -2.4752957e-03 -3.3638771e-03 -8.9540963e-04
     2 :  6.8211791e-70  2.6112480e-69 -2.0984891e-69
     3 :  3.5966662e-39 -5.5415899e-39  4.2524407e-39
     4 :  1.6221604e-69  7.4770974e-70  3.8798087e-69
     5 :  5.9872929e-39 -9.0491154e-39 -1.0341443e-38
     6 :  3.6201940e-02  6.2010081e-02  2.8032375e-02
     7 : -6.3139038e-07 -5.5971611e-07 -6.7558476e-07
     8 :  6.7642840e-07  4.6136661e-06  6.4298806e-06
     9 :  9.8710079e-10 -1.7694125e-09 -3.2488467e-09
    10 :  1.7246926e-03  1.5042802e-02  3.7171876e-03
    11 :  2.7669311e-04  4.6996454e-04  2.3337019e-04
    12 :  3.4120776e-02  2.5937917e-02 -1.3345262e-03
    13 :  6.5360516e-03 -6.0301935e-03 -3.6775614e-03
    14 : -3.8530153e-03 -2.3618628e-03 -8.0380818e-03
    15 : -6.6149122e-08 -1.1851223e-07 -2.0026794e-07
    16 : -1.5922078e-02 -1.3717672e-02 -1.5675047e-02
    17 : -3.5497010e-08 -1.7001640e-07  4.8960687e-08
    18 : -2.0700419e-22  1.9028752e-22 -2.0120743e-22
    19 : -7.8751835e-06  8.8134483e-06 -8.3911829e-06
    20 : -1.9618797e-03  7.4769886e-04 -1.8544146e-03
    21 :  5.4019593e-02  2.8788211e-02  6.1456986e-02
    22 : -5.0303048e-61 -3.1092719e-61  1.0231475e-60
    23 : -1.0128470e-02 -1.7408053e-02 -1.5594155e-02
    24 :  8.0055924e-47 -6.3461915e-47  1.3229463e-46
    25 : -1.9495879e-02 -2.0844354e-02 -1.6480479e-02
    26 :  1.4777259e-02  9.0963861e-03  1.0725991e-02
    27 :  1.8570723e-02 -3.6050914e-02  1.5994475e-02
    28 : -4.0274305e-02 -7.0768261e-02 -6.4406972e-02
    29 : -5.0423230e-04 -1.2188447e-03  7.9692844e-04
    30 : -1.9710926e-02 -1.6087343e-02 -1.9856632e-02
    31 :  2.4505610e-41 -5.2501183e-41 -2.8681859e-41
    32 : -6.5862595e-05  2.3345482e-06 -1.3313203e-04
    33 :  8.2321526e-03  2.8471153e-03  1.7459979e-03
    34 : -4.0844204e-05 -3.9008258e-05 -3.2115797e-05
    35 : -1.3595992e-02 -1.1697920e-02 -1.3934670e-02
    36 :  5.7689530e-05 -6.8502720e-05 -3.9419369e-05
    37 :  2.3549550e-02  1.1623549e-02  2.6513437e-02
    38 :  1.9634861e-03  1.1820461e-03  6.4173037e-04
    39 :  9.9344136e-03  1.1262456e-02  9.5009684e-03
    40 :  7.1935619e-59 -4.4778422e-58 -5.7139390e-58
    41 : -3.8956619e-02 -3.3112576e-02 -3.3850533e-02
    42 :  1.3360291e-11  5.4013488e-12 -2.2423649e-11
    43 : -8.5717128e-03 -7.9299976e-03 -8.5180822e-03
    44 : -8.1029013e-03 -8.9157792e-03 -1.7314232e-02
    45 : -3.8024727e-02 -1.2341871e-02 -2.9814933e-02
    46 :  8.3054141e-03  2.1607106e-02  3.6393525e-02
    47 :  5.3977152e-04 -2.8915080e-04  5.0880220e-04
    48 : -8.4072246e-03 -1.5833391e-02 -1.4553995e-02
    49 : -2.3720165e-02 -1.6255840e-02 -1.5941206e-02
    50 : -6.6266145e-03 -8.0938495e-03 -9.2513034e-03
    51 : -1.3413261e-05 -2.9111628e-06 -1.3855585e-05
    52 :  3.5475324e-02  7.4084059e-03  1.6012981e-02
    53 : -1.0950476e-44  1.2629931e-43 -1.7039118e-43
    54 : -1.4880179e-09 -5.7883137e-10 -3.2630433e-10
    55 :  5.2969908e-03  3.0234161e-03  5.5218073e-03
    56 : -2.7666996e-09 -3.1104548e-10  7.2903169e-10
    57 : -1.4747686e-02 -1.5036966e-02 -2.0015224e-02
    58 : -9.3059209e-03 -1.2599117e-02 -9.2005701e-03
    59 :  5.0733354e-11  4.3049414e-11 -2.4002205e-11
    60 :  6.1369061e-07 -1.4271584e-06 -2.0282514e-06
    61 : -1.5617802e-09 -4.4780561e-10 -2.0275754e-09
    62 : -1.4329280e-04  1.3770267e-04  1.1270291e-03
    63 : -3.8653148e-02 -3.6988934e-02 -3.1847852e-02
    64 : -8.1073083e-03 -2.2557318e-02 -2.2456371e-02
    65 :  5.7636626e-39 -3.4351148e-38  1.2853886e-38
    66 : -1.8022237e-09 -1.0335747e-09  3.3788800e-10
    67 :  2.3713883e-01  1.6811577e-01  2.4437189e-01
    68 : -1.5203763e-03  1.1030970e-03  1.6534585e-03
    69 : -4.3636493e-02 -3.8528499e-02 -1.1866646e-02
    70 : -6.8177460e-03 -9.6791033e-03 -1.4300569e-02
    71 :  5.1947649e-03 -6.8455171e-04 -1.5609241e-03
    72 : -9.4351690e-19  4.1645510e-18  5.2710038e-18
    73 : -1.7373330e-16 -2.3417322e-18  4.0830040e-16
    74 : -1.2704125e-10  3.2006177e-11 -1.0636917e-11
    75 : -1.2869679e-02 -1.6203901e-02 -1.6210385e-02
    76 : -1.8697891e-02 -1.3457622e-02 -2.2311437e-02
    77 :  7.5611366e-06  5.0021214e-06  4.4950808e-06
    78 : -4.7970936e-07  6.7484382e-07  9.9389437e-07
    79 : -5.9845360e-03  2.4917856e-02  3.1534408e-02
    80 : -7.4246672e-39 -1.5338611e-39  7.9587423e-39
    81 :  3.0167944e-03  1.7707330e-03  3.4014977e-03
    82 : -9.6813687e-09 -2.4192748e-09  2.3670698e-08
    83 :  2.4093449e-02  6.4602443e-03  9.0512661e-03
    84 : -1.0442644e-09 -4.8309921e-09 -2.2645357e-09
    85 : -2.9248975e-02 -3.7852189e-02 -4.3603370e-02
    86 : -2.7629066e-03 -3.8190961e-03 -2.4443713e-03
    87 :  1.7869032e-13  1.4566903e-13 -1.7278048e-13
    88 :  3.4674419e-21 -1.5478200e-21  3.2798952e-21
    89 : -2.4946740e-02 -2.3759742e-02 -2.3568977e-02
    90 : -6.6195515e-03 -9.0796341e-03 -1.1551162e-02
    91 :  2.6770159e-02  2.5918995e-02  2.6862309e-02
    92 : -3.4649164e-03 -5.4923932e-04 -1.6067814e-03
    93 : -1.5957957e-05  2.5947026e-05 -1.0116564e-05
    94 : -1.9148598e-02 -1.4742557e-02 -1.9363139e-02
    95 : -1.5063844e-02 -1.2156049e-02 -1.5743284e-02
    96 :  2.2730845e-03 -1.6500736e-03  1.5101946e-03
    97 :  2.3600999e-02  2.7672476e-02  2.5115437e-02
    98 : -2.7276037e-03 -1.3393963e-03 -6.2557645e-04
    99 : -8.0533900e-11 -5.0486844e-11  5.1094890e-11
   100 : -8.8175494e-35  2.5930811e-34 -1.1637874e-34
   101 : -1.0135631e-02 -8.4454667e-03 -1.0521259e-02
   102 :  5.3656024e-17  4.0024630e-19 -1.4117965e-17
   103 : -1.1028465e-07 -2.4913976e-07 -4.9772423e-07
   104 : -1.1638277e-06 -2.3799644e-03 -6.6539619e-03
   105 :  6.8910592e-23 -8.4366591e-23  2.7804879e-22
   106 : -4.6856920e-56  3.3416554e-57  2.1691231e-56
   107 :  2.7810456e-02  2.4252823e-02  2.6875039e-02
   108 : -1.5250269e-66  1.1741114e-65 -2.4204895e-65
   109 : -1.2680452e-03  9.3245181e-04  1.4598300e-04
   110 :  1.3406543e-35 -1.7328740e-35  1.6524765e-35
   111 : -6.9967071e-03 -8.5934219e-03 -7.8892363e-03
   112 : -2.9932758e-02 -3.9533816e-02 -3.4711938e-02
   113 : -2.8619180e-03 -9.1965665e-03 -8.0892053e-03
   114 : -9.8430717e-56 -1.1846948e-56  9.5479542e-56
   115 : -1.3364865e-02 -6.0476286e-03 -2.4779074e-03
   116 :  5.1941244e-02 -1.6296759e-03 -1.2149607e-02
   117 :  6.1794303e-53 -3.2970437e-53 -9.1331086e-55
   118 : -1.5701233e-62 -8.7741383e-61  6.1498488e-61
   119 :  1.8680225e-16  6.5183068e-16 -2.6065752e-15
   120 :  4.8607603e-07 -1.9500879e-06  7.2550821e-07
   121 :  5.2799930e-58 -6.0404099e-58  1.6468642e-57
   122 : -4.8012443e-03 -9.6541574e-03 -6.8806176e-03
   123 :  5.0962091e-64 -1.1149482e-63  8.2533068e-65
   124 :  2.6296571e-53  6.0116998e-53 -1.6573220e-52
   125 :  2.8236748e-02  2.7934857e-02  2.6651108e-02
   126 : -1.1269534e-02 -1.2833918e-02 -1.2345421e-02
   127 :  2.1352897e-05  3.0861579e-05  1.1923997e-04
   128 : -1.9388328e-02 -1.7584949e-02 -2.7125383e-02
   129 : -2.4972053e-03 -3.8759258e-04 -1.1035811e-03
   130 : -9.0667867e-42  1.9098443e-43  3.0753087e-41
   131 :  1.3681329e-71  1.0554092e-71 -8.0806345e-71
   132 :  1.8167182e-20 -1.0394175e-19  2.8060157e-19
   133 : -4.9697417e-04 -8.0117703e-03 -1.8129550e-03
   134 : -3.4392460e-19  1.5440413e-19  5.3642815e-20
   135 : -1.8409730e-02 -1.5720011e-02 -3.1261288e-02
   136 : -2.6010389e-03 -1.3976105e-02 -3.1151447e-02
   137 : -9.5878091e-05  9.2572293e-04  1.1773275e-03
   138 :  1.7840734e-02  1.7825188e-02  1.5518383e-02
   139 :  2.0007340e-42  9.2039875e-43 -9.3318533e-43
   140 : -3.5827939e-04 -1.6787379e-05 -1.6834765e-04
   141 : -5.6839502e-03 -8.1442337e-03 -5.7196561e-03
   142 : -3.0778342e-65  3.3053871e-65 -4.1437039e-66
   143 : -1.1653639e-02 -1.2799110e-02 -1.3727698e-02
   144 :  8.5739925e-59  2.7338871e-59 -8.9672982e-59
   145 : -5.1494282e-02 -3.1271949e-02 -2.9335471e-02
   146 : -2.4796638e-04  3.1579597e-03  2.0048729e-02
   147 :  2.8362142e-71  5.1899344e-71 -1.0942797e-70
   148 :  1.2299823e-25 -4.3720192e-25  7.5487831e-26
   149 : -2.1505829e-32  3.3332105e-32 -1.2975916e-32
   150 :  2.0473010e-07  4.2788051e-07 -2.4082851e-07
   151 : -2.4922484e-06 -7.8807468e-06 -1.1733106e-05
   152 : -2.6276511e-03 -8.8223570e-03 -9.5928916e-03
   153 : -8.2989724e-25  2.6390565e-25  1.2790129e-24
   154 : -3.5840978e-21 -5.2624685e-21  1.2548615e-20
   155 : -8.3818915e-03 -9.3924644e-03 -1.1148693e-02
   156 : -2.2617098e-02 -2.0979343e-02 -2.2968909e-02
   157 : -5.6006086e-03 -6.7162003e-03 -8.8527081e-03
   158 : -2.9097961e-02  2.4778490e-02 -1.1815632e-01
   159 :  1.1116063e-37  7.9439833e-38 -7.3553152e-38
   160 : -3.2372179e-04  9.9752749e-05  5.6704322e-04
   161 : -9.0524676e-03 -2.0897945e-03 -1.8016600e-03
   162 : -7.9199652e-03 -6.1529244e-03  2.3839702e-03
   163 :  3.1099116e-48  1.4887399e-48 -1.3181332e-48
   164 : -7.3653672e-05 -1.5233918e-04  5.3264633e-05
   165 :  2.7908009e-18  1.7627836e-17 -6.6019984e-18
   166 :  4.5083143e-02  1.2133928e-02  2.3803446e-02
   167 :  1.1893127e-02  1.3768402e-02  1.8845333e-02
   168 : -4.0830990e-02 -4.4133882e-02 -4.0126685e-02
   169 : -1.2093743e-57  1.2767389e-57  3.4131193e-57
   170 :  3.3440035e-08  9.3077715e-09  4.1963880e-08
   171 : -1.4852758e-02 -2.1702842e-02 -1.7973221e-02
   172 : -6.9978350e-04 -5.6086067e-03 -6.5861339e-03
   173 : -7.6721299e-05 -3.9039514e-05  5.4941742e-05
   174 : -5.5169669e-02 -4.0721035e-02 -4.3983306e-02
   175 : -9.3763115e-13  1.6312052e-12  1.0303843e-12
   176 : -5.7934877e-47  1.8193062e-46 -6.5326206e-47
   177 :  2.7945981e-03  8.8175916e-03 -1.9090173e-03
   178 :  9.1540222e-02  4.3475388e-02  9.3527880e-02
   179 :  2.2301275e-06 -5.5972157e-06 -5.4936132e-06
   180 :  4.7873974e-03  5.4141241e-03  5.7542254e-03
   181 : -3.4752428e-16 -1.1033222e-16 -3.5002705e-16
   182 :  2.1881655e-03  2.1956026e-03  2.3309086e-03
   183 :  2.0128625e-04 -2.0654086e-04  3.4944238e-04
   184 : -5.2742697e-07  2.1314511e-06 -1.0564089e-06
   185 :  5.9466441e-02  6.2585136e-02  3.5493246e-02
   186 : -1.5983907e-34  8.9975555e-35 -2.2046149e-34
   187 : -2.2377470e-02 -1.8002069e-02 -2.1631098e-02
   188 :  9.7488377e-47  3.2041044e-47 -2.0087342e-47
   189 : -8.2340265e-03 -8.3443625e-03 -8.3010748e-03
   190 :  1.3659245e-49 -1.6869234e-49  1.5648535e-49
   191 :  2.2149828e-53  1.2203679e-52 -5.3737932e-53
   192 : -2.7822959e-10  3.9044944e-10  4.8425971e-10
   193 : -2.3592042e-02 -1.6200078e-02 -2.0650931e-02
   194 : -1.2933606e-46  3.6684368e-47  2.3290922e-47
   195 :  3.3925009e-40  7.2950938e-40 -1.8726257e-39
   196 :  1.4456473e-08  1.4315942e-08 -1.0661836e-11
   197 :  6.9398467e-03 -6.1443318e-04  4.2311394e-03
   198 : -2.5325450e-20 -3.0261552e-21  2.0106957e-20
   199 :  2.7172016e-03  8.1728990e-03  6.2880082e-02
   200 :  1.2113581e-02  1.0524098e-02  9.2462728e-03
   201 :  5.3659051e-03  1.4459609e-03  3.0108420e-03
   202 :  5.5461024e-03  4.8802206e-03  8.5067590e-03
   203 :  5.6840338e-06  5.5050964e-06 -7.4981501e-06
   204 : -2.6125259e-02  6.2120620e-03  5.7818405e-02
   205 : -1.2030177e-02 -1.4673964e-02 -1.5406765e-02
   206 :  9.4840126e-03 -3.0974937e-04 -2.3853995e-02
   207 : -6.9626593e-08 -7.1252763e-08 -4.4120419e-09
   208 :  3.5917658e-30 -8.4493228e-31 -9.4782968e-30
   209 : -1.8209832e-02 -1.5814999e-02 -1.6781721e-02
   210 :  3.7834370e-14 -2.3563961e-14 -7.4126394e-16
   211 : -2.7842555e-02 -4.4597671e-02 -3.1232054e-02
   212 : -7.5009940e-68  4.1780379e-69  1.2927166e-68
   213 :  4.4362452e-63 -5.0381024e-63 -4.7846721e-63
   214 : -6.6478224e-07 -6.4427994e-09 -2.8052936e-07
   215 :  8.2298680e-18  4.0984508e-18 -2.8374431e-18
   216 : -2.1570966e-06 -5.2289383e-06  9.8775761e-06
   217 :  5.9838605e-02  4.5504178e-02  3.3591525e-02
   218 : -2.2453913e-41 -7.0072869e-41  6.1307130e-42
   219 : -6.7152206e-03 -9.0872280e-03 -1.2744868e-02
   220 :  5.7616553e-49 -1.2651485e-49 -6.5742313e-49
   221 :  4.9812201e-10  1.2261489e-10 -1.3879754e-09
   222 :  3.4274111e-03  7.7544002e-03  9.3898045e-03
   223 :  7.7660793e-41 -2.9075416e-40  5.0060415e-40
   224 : -3.1987775e-02 -2.3877594e-02 -2.2372558e-02
   225 : -5.9261931e-03 -5.8663860e-03 -5.1204494e-03
   226 :  1.6394567e-05 -2.4570467e-05 -2.2539567e-05
   227 : -2.0889888e-02 -1.9261683e-02 -1.9736941e-02
   228 :  9.8210826e-75  1.1352837e-74 -3.3075948e-74
   229 : -7.9367777e-03 -1.0897068e-02 -2.1380817e-03
   230 : -1.7060497e-32 -4.9087264e-33  1.0877435e-32
   231 : -1.2803801e-20 -6.6169587e-20  5.8075696e-20
   232 :  2.0354118e-39  1.9486046e-39 -1.9383244e-39
   233 :  5.9801482e-05  9.4593164e-05  1.5568487e-04
   234 : -9.4523091e-03 -1.2365102e-02 -9.8364638e-03
   235 : -1.7998747e-63  1.9294925e-63 -7.4422415e-64
   236 :  2.7955666e-02  2.6160206e-02  2.1338036e-02
   237 :  3.0418258e-02  3.2801852e-02  3.0800230e-02
   238 : -1.4420455e-02 -1.4032931e-02 -1.4340216e-02
   239 :  4.0092237e-02  4.0331567e-02  3.8287409e-02
   240 : -7.7111171e-04 -1.3460617e-03 -3.7626227e-03
   241 :  2.2190198e-02 -1.9530839e-03 -1.6447513e-02
   242 :  4.2453036e-49  2.6696592e-49 -1.7540773e-49
   243 :  1.2593177e-04 -8.6056470e-06 -6.8638290e-05
   244 : -1.6396632e-02 -1.1812575e-02 -1.2997535e-02
   245 : -1.4222488e-02 -1.2293060e-02 -1.3551959e-02
   246 : -2.4188058e-02 -3.1202775e-02 -3.8692282e-02
   247 :  3.5307248e-02  2.7380958e-02  2.7532305e-02
   248 :  2.8935409e-12 -5.6155869e-12 -3.7438738e-12
   249 :  5.6397015e-61 -2.4519581e-61  2.4717830e-61
   250 :  1.7455758e-55 -6.3664371e-55  1.7773183e-55
   251 : -1.0865294e-02 -8.0411753e-03 -1.4683866e-02
   252 : -1.0669766e-27  7.4268802e-28  1.4599488e-27
   253 :  6.0400196e-02  9.5716108e-03  2.8851430e-02
   254 : -4.2169523e-19  2.9611582e-19 -3.8990846e-19
   255 : -7.2796066e-02 -4.2930646e-02 -9.4549682e-03
   256 : -1.0652829e-02  1.8181192e-02 -9.5851323e-03
   257 : -1.4628148e-02 -1.3759828e-02 -1.2823717e-02
   258 :  2.7600231e-03  3.3231142e-03  1.6570414e-03
   259 :  8.1452472e-14  3.4616779e-13 -1.2451718e-13
   260 : -1.3161806e-02 -1.1953174e-02 -1.0811724e-02
   261 :  5.9256333e-03  6.6086964e-03  7.1656166e-03
   262 :  2.3441046e-45 -3.4045181e-45 -2.5008079e-46
   263 :  5.2370525e-03  8.7176201e-03  4.7937036e-03
   264 : -3.9629401e-50  1.6501424e-50 -3.0326743e-50
   265 : -6.2099282e-03 -7.5027395e-03 -3.2886533e-03
   266 :  2.7787025e-57 -3.4347140e-57  1.6968718e-57
   267 :  3.8437574e-02  8.7440022e-02  5.2044912e-02
   268 : -2.6832276e-27  2.2007342e-27  5.2537221e-27
   269 :  1.7355166e-29 -6.4099503e-30  6.3655881e-30
   270 :  1.1310020e-58  5.8212635e-60 -3.2621742e-59
   271 : -1.2349653e-32  1.1243466e-32 -1.1615630e-33
   272 : -8.5290112e-70  1.2698274e-69  1.1189679e-69
   273 : -3.1898688e-05 -3.6871004e-05 -2.4722976e-05
   274 :  1.7505522e-52 -9.6979254e-52 -2.4568123e-52
   275 : -3.0893875e-04  2.1116185e-03  7.4760697e-03
   276 :  1.1333821e-02  1.1634637e-02  1.2837501e-02
   277 :  7.1127488e-03  1.1180527e-02  6.8008699e-03
   278 : -2.0361320e-02 -3.0627044e-02 -2.1688886e-02
   279 : -2.5957956e-02 -5.5120000e-04  2.7940907e-02
   280 :  3.1765566e-02  3.1004594e-02  3.0339038e-02
   281 : -3.1945302e-32 -7.0899552e-33  4.4839599e-32
   282 : -2.1406236e-26 -2.8773466e-26  1.3519423e-26
   283 : -2.9899684e-33  1.0162022e-35  1.1039269e-33
   284 : -1.4188337e-02 -1.4585965e-02 -1.9006974e-02
   285 : -1.5448219e-14  1.0640571e-15 -3.1311505e-15
   286 : -6.0977198e-58 -3.7612086e-58  1.3255620e-57
   287 :  6.9089281e-36 -1.6486050e-35  1.9650806e-35
   288 : -1.9797881e-03 -3.5471595e-03 -6.2724329e-03
   289 :  3.5430239e-03  8.2426297e-04 -1.0544188e-02
   290 : -1.4419225e-25  1.0829046e-25  1.0641465e-26
   291 :  1.7999676e-02  1.4753471e-02  2.2245180e-02
   292 : -2.7512155e-02 -1.6573038e-02 -2.6418782e-02
   293 :  2.4870650e-02  5.3868394e-02  2.3767590e-02
   294 : -8.1489163e-03 -8.6762012e-03 -1.0481848e-02
   295 :  7.4856696e-04  4.5273062e-02  2.3973028e-02
   296 :  2.7228225e-77 -8.8300646e-77  5.6909984e-77
   297 :  6.1226286e-39 -1.7099573e-38  5.2469788e-39
   298 : -1.7702203e-02 -1.5670275e-02 -1.3173903e-02
   299 : -6.3035076e-03  9.7425689e-04  2.7156443e-03
   300 : -5.2054512e-03 -5.0623211e-04 -4.0098488e-03
   301 : -2.7526796e-03 -3.7317823e-03 -1.7359163e-03
   302 :  5.0315257e-58  1.3595454e-57 -5.8954169e-58
   303 : -9.4596590e-03 -2.1319041e-02 -1.7459407e-02
   304 : -7.0482817e-38  9.3740682e-38  4.9308670e-38
   305 : -1.4236124e-03 -1.7508692e-03  1.0821178e-03
   306 :  6.2865441e-03  1.6249593e-03  8.4717149e-04
   307 : -2.8900064e-56 -2.5319586e-55 -1.9216338e-55
   308 : -2.2721865e-02 -1.8775682e-02 -2.0209124e-02
   309 : -1.6836210e-02 -1.5135302e-02 -1.3078246e-02
   310 : -4.5859433e-46 -7.4118211e-46 -7.6796340e-47
   311 :  3.5308453e-02  3.4078960e-02  3.9618426e-02
   312 : -9.5773500e-62  2.6274873e-61 -8.1952678e-62
   313 : -1.4593312e-18  3.3633072e-18  4.0797349e-18
   314 : -1.0945369e-02 -1.2073314e-02 -8.8506808e-03
