Number of elements 23380
     0 :  8.2978027e-05  3.6505975e-04  1.0034018e-04
     1 :  2.0700724e-02  2.8670637e-02  9.7751689e-03
     2 :  1.5546918e-66  5.4172596e-66 -3.1546607e-66
     3 :  7.6105182e-37 -1.2805653e-36  8.0470851e-37
     4 :  3.5029778e-66  4.7722703e-67  5.8481306e-66
     5 :  1.2289491e-36 -2.3889992e-36 -2.1707997e-36
     6 :  3.7393644e-02  6.0973770e-03  4.5222654e-02
     7 : -2.6031509e-05 -4.2793850e-06 -1.9393096e-05
     8 : -6.9388894e-05  5.1074646e-05  2.1394616e-05
     9 :  1.7422502e-08  1.5545052e-08 -2.1491408e-08
    10 :  1.7297672e-04 -1.5571845e-03  1.1115562e-02
    11 : -3.3160451e-03 -2.8595086e-03 -3.2007922e-03
    12 :  4.0816453e-02  4.7235346e-02  6.2672230e-02
    13 :  5.3037345e-02  3.9613176e-02  4.8121153e-02
    14 : -5.1554453e-03 -7.0954991e-03 -1.5254396e-03
    15 :  1.4822789e-06 -2.4859786e-06 -8.7083156e-07
    16 :  5.4687175e-04  7.7905887e-04  7.4268786e-04
    17 :  9.9955465e-07  5.0449810e-07  4.0810807e-07
    18 : -1.3733308e-20 -3.9474046e-21 -1.2380015e-20
    19 :  1.9123222e-04  1.0987005e-04  3.1310195e-04
    20 : -7.5581289e-03 -7.4168531e-03 -7.4030147e-03
    21 :  1.4394039e-02  4.5305343e-02  5.6260097e-03
    22 : -4.6032718e-58 -3.8548530e-58  1.2201865e-57
    23 : -2.9336429e-02 -2.3589634e-02 -2.7109639e-02
    24 :  2.9656228e-44 -2.1595529e-44  4.7992464e-44
    25 : -1.3119685e-02 -1.8381016e-02 -2.4440929e-02
    26 : -3.9174641e-03 -3.5407233e-03 -4.7362149e-03
    27 :  2.3647861e-02 -2.7667426e-02 -2.7004093e-02
    28 : -1.6287545e-02 -8.9637557e-03 -2.1715431e-02
    29 :  1.2499194e-02  1.3808605e-02  5.2697444e-03
    30 :  2.4055321e-02  1.6575335e-02  1.4772701e-02
    31 :  6.1262016e-39 -1.3989155e-38 -8.1197372e-39
    32 :  6.3919073e-04 -4.0968581e-04  7.6397296e-04
    33 : -2.2534959e-02 -1.5963241e-02 -1.0852292e-02
    34 : -6.1540171e-04 -2.9097560e-04 -1.1986355e-03
    35 : -2.6810089e-03 -2.1671780e-03 -3.1506745e-03
    36 : -1.3428559e-03 -1.0732931e-03 -1.3336357e-03
    37 :  2.5406161e-02  2.8369132e-02  2.5493989e-02
    38 : -2.8890102e-03 -4.7069317e-03 -3.4419723e-03
    39 : -4.9624144e-03 -6.4507356e-03 -5.4741781e-03
    40 : -1.4232455e-55 -3.0687392e-55 -9.5718525e-56
    41 : -2.5223815e-02 -3.6683278e-02 -2.4600105e-02
    42 :  1.2495832e-11  5.8738282e-10  1.2388435e-10
    43 :  1.5245054e-02  1.1328684e-02  1.1614026e-02
    44 :  2.3915640e-02  1.4586750e-02  1.5032924e-02
    45 :  2.2811341e-02  3.0064282e-02  1.2290441e-02
    46 :  3.9712756e-02  2.5068434e-02  2.1650082e-02
    47 :  1.0652363e-02  1.8288099e-02  4.6799479e-03
    48 :  5.5584360e-02  9.2470314e-02  1.1030213e-01
    49 : -8.1566397e-03 -1.8879115e-02 -1.0223578e-02
    50 : -9.6153910e-04  5.3587124e-03  3.5472438e-03
    51 : -7.6947343e-06  1.1097211e-04 -2.6428898e-05
    52 :  2.6343453e-03 -4.7452246e-03  2.1366176e-03
    53 : -3.2869473e-42  3.3479889e-41 -4.4738420e-41
    54 : -7.3048867e-08 -2.0724489e-08 -3.3759918e-08
    55 :  1.0333253e-03  3.7278108e-03  2.1487550e-03
    56 : -1.2450410e-07  1.0639742e-07 -1.7526764e-07
    57 : -1.4610904e-02 -1.6666422e-02 -1.3503202e-02
    58 : -7.8409486e-03 -6.6196270e-03 -1.4180433e-02
    59 :  1.5556510e-09  8.0624605e-10  5.7678569e-10
    60 :  1.4805200e-05 -1.8996890e-05 -3.7006098e-05
    61 : -9.2878928e-08  1.5733804e-08 -8.6534340e-08
    62 :  7.0133114e-04  3.9073645e-04 -1.0729985e-03
    63 :  1.1824081e-02  1.2825256e-02  1.4138066e-02
    64 : -3.2859795e-02 -2.2773496e-02 -2.2742260e-02
    65 :  6.1865308e-36 -1.9978972e-35  6.6220966e-36
    66 : -1.4550800e-08  1.4134397e-08  1.0641017e-08
    67 : -1.9375721e-01 -1.1334250e-01 -2.6929004e-01
    68 :  2.7786018e-03 -7.4396724e-03 -9.4733846e-03
    69 :  8.9210772e-04 -1.9943459e-03 -2.0919468e-02
    70 : -3.3364133e-02 -2.8232276e-02 -2.1236746e-02
    71 : -3.2320832e-02 -2.2271952e-02 -2.9521447e-02
    72 : -1.2792113e-16  2.8227952e-16  4.8243401e-16
    73 : -5.2480600e-15 -7.6717779e-15  4.6700897e-16
    74 : -3.4533400e-09  1.0570927e-09  1.1838818e-09
    75 :  3.5353329e-04 -9.5571164e-05  5.2525543e-04
    76 : -3.8116538e-02 -2.8481015e-02 -2.2300442e-02
    77 :  1.0290069e-04  2.2589189e-05 -3.8108921e-05
    78 : -3.9959234e-06 -3.3458599e-06  3.9774698e-07
    79 :  6.6964407e-02  5.3390247e-02  4.1807700e-02
    80 :  4.7166971e-36  2.6294287e-36 -8.2168814e-36
    81 :  6.1847936e-03  8.3144206e-03  8.3903145e-03
    82 :  7.0322629e-08 -2.3490685e-08 -1.2807692e-07
    83 :  7.3322771e-02  6.8330437e-02  7.0144226e-02
    84 :  2.1998747e-08 -2.1399447e-07 -1.2402210e-08
    85 :  2.1939312e-03  3.7866454e-02  2.5468771e-02
    86 : -9.1833816e-03 -9.6375670e-03 -9.7660482e-03
    87 : -3.7150572e-13  9.1741664e-13 -2.1576428e-12
    88 :  1.8219262e-19 -1.0899173e-19  1.4837073e-19
    89 :  3.6206164e-03 -2.1339372e-03  4.4045748e-03
    90 : -1.2337182e-02 -1.0564530e-02 -7.3276479e-03
    91 :  2.5705428e-02  2.7367940e-02  2.3884064e-02
    92 :  2.3791826e-02  1.2313895e-02  1.6168642e-02
    93 : -3.0575887e-05 -4.8326636e-04 -1.9930897e-04
    94 : -1.5800732e-02 -2.0661561e-02 -1.5122930e-02
    95 : -3.4552657e-03 -3.6101516e-03 -1.9973341e-03
    96 : -1.1148069e-02  1.7141583e-03 -9.3326503e-03
    97 : -1.4526160e-02 -1.4353854e-02 -1.4117561e-02
    98 :  1.3603366e-03  3.0164426e-02 -6.4587812e-03
    99 : -2.0205781e-09 -5.3272679e-10  6.3055620e-10
   100 :  8.6247491e-34 -1.3921191e-31  9.6488176e-32
   101 :  2.6918185e-03  7.3927480e-03  2.3644260e-03
   102 :  5.7337314e-16 -3.7836983e-16  1.2273618e-15
   103 :  3.4278995e-06  2.5091421e-07 -3.5735081e-06
   104 :  6.7801097e-03  5.0840977e-03  5.8816614e-03
   105 : -3.3743151e-21 -5.4671055e-21  1.8140759e-20
   106 : -3.7336465e-53  1.7010053e-54  1.7536989e-53
   107 :  1.2574104e-02  6.9212488e-03  1.6036548e-02
   108 : -7.8145532e-63  9.9462457e-63 -1.3769093e-62
   109 :  9.2064332e-03  7.3578125e-03  8.7118525e-03
   110 :  4.0727310e-33 -1.2841418e-32  3.8697895e-33
   111 :  6.9619454e-03  1.1564214e-02  1.1289677e-02
   112 :  7.5539485e-02  8.9101972e-02  6.5396596e-02
   113 :  6.8550524e-03 -1.0515037e-02 -1.4734415e-02
   114 : -8.1478177e-53  7.1373186e-54  3.8380367e-53
   115 : -9.7034411e-04 -8.0305505e-03 -2.5239879e-03
   116 : -8.6001700e-03  2.3214444e-03 -2.3548387e-03
   117 :  3.6850479e-50 -2.5459408e-50  3.4954842e-51
   118 :  1.4581083e-58 -4.3493706e-58  3.7304890e-58
   119 :  2.4475894e-14  4.0540666e-14 -1.3097012e-13
   120 : -3.2735252e-05 -5.2071987e-05 -4.9922528e-05
   121 :  5.9422252e-55 -5.3557310e-55  1.6775165e-54
   122 : -6.0731811e-03 -1.6400473e-03 -3.6790862e-03
   123 :  6.3376475e-61 -1.2382200e-60 -3.3092125e-62
   124 : -4.7491040e-51  3.5653716e-50 -1.0114631e-49
   125 :  2.3997181e-02  2.0157238e-02  2.7423930e-02
   126 : -2.2054617e-02 -2.1187914e-02 -2.3054080e-02
   127 : -1.0562063e-03 -9.9651536e-04 -1.3702183e-03
   128 :  2.1099467e-02  3.0594801e-02  3.0188811e-02
   129 :  9.9687208e-03  8.3574440e-03  1.3009346e-02
   130 : -2.5417891e-38  8.1985696e-39  1.8040781e-38
   131 :  1.4286928e-67 -5.9075366e-68 -8.6748340e-68
