Number of elements 23380
     0 :  2.5337265e-27 -1.3366296e-26  1.1189561e-27
     1 :  1.3545334e-21 -6.8925542e-23  3.4702616e-22
     2 : 5.9358291e-112 1.1920470e-111 -2.0189292e-111
     3 : -1.1578865e-67  2.2466595e-67  1.9161660e-67
     4 : 5.4881706e-112 -5.5194009e-111 7.0846777e-111
     5 :  3.1822224e-68 -1.0767655e-67 -1.3362978e-67
     6 : -3.9799486e-15 -3.0091403e-15 -7.2158034e-15
     7 : -6.2732712e-29  3.1414624e-29  1.4935404e-29
     8 : -2.1218065e-28  9.5530285e-28  2.5063539e-28
     9 : -4.6594960e-27 -3.1448545e-26  1.9049068e-26
    10 :  1.5927905e-03  1.2254927e-04 -2.6672025e-03
    11 :  5.5223294e-24  1.0975200e-23 -3.1576213e-24
    12 : -1.6388545e-15 -1.9277859e-15  1.9625993e-15
    13 : -4.9838493e-20 -8.8930491e-21  5.1025917e-20
    14 : -7.2906164e-10 -3.5550534e-10  5.2157602e-10
    15 : -6.6564071e-23  8.1293818e-23  1.0778493e-22
    16 : -1.3905403e-11 -3.8315702e-11 -2.1721727e-10
    17 : -1.7572021e-23  2.1594172e-23 -6.4247300e-24
    18 :  1.3980077e-46 -1.2646932e-44  7.1729479e-46
    19 : -8.2770095e-27 -3.2206444e-27 -8.0424907e-27
    20 :  1.2230113e-05  5.4958607e-06  1.2011120e-05
    21 :  3.3036029e-14 -1.6644732e-14  1.8138589e-15
    22 :  1.1142479e-98  1.0671559e-98 -3.5106196e-98
    23 : -5.5047818e-06 -2.1328685e-06 -8.6354416e-06
    24 : -1.2712853e-78  1.2845834e-78 -2.1193747e-78
    25 :  1.3387504e-06  1.2539585e-06 -7.4227034e-08
    26 : -1.5985756e-11  2.2481143e-11  8.0990251e-13
    27 :  1.1677880e-08 -2.3236720e-08  3.5154228e-09
    28 : -7.8134281e-02 -1.2407255e-01 -1.2307289e-01
    29 :  1.1457975e-19 -4.8795547e-21 -9.7670505e-21
    30 : -5.5742505e-06  1.1467343e-06  4.2969206e-07
    31 :  2.1599045e-72  1.7708102e-71 -4.6238571e-71
    32 : -2.7268696e-17  3.6466379e-17 -1.1631332e-17
    33 :  7.0015494e-07  6.6143096e-07  4.2067951e-07
    34 : -1.6646932e-27 -5.8482559e-27  1.4604954e-26
    35 : -3.5669579e-08  3.3979871e-09  2.5212026e-08
    36 : -4.5448514e-26  2.6500253e-26  3.6143803e-26
    37 : -2.4458046e-19 -2.2687155e-19  2.4308553e-19
    38 :  1.8363486e-07 -1.5834883e-06 -1.3801576e-06
    39 : -1.6632300e-13  2.5770441e-13 -3.1968408e-13
    40 :  7.3430623e-95 -6.5015060e-96 -1.6648213e-94
    41 : -1.7000688e-03  1.7698939e-02  4.8605394e-03
    42 :  6.4742747e-31  1.7037128e-30 -2.3717848e-30
    43 : -1.2698927e-05 -9.2427200e-07 -3.6954524e-06
    44 : -1.2631925e-03 -5.1113224e-04  2.0375214e-03
    45 : -9.2709717e-02 -6.3206541e-02 -9.1668840e-02
    46 : -3.4387639e-23 -1.2144680e-22  2.1451222e-22
    47 :  4.3016048e-26 -5.3244665e-26  2.5357744e-26
    48 : -1.1269064e-14 -6.7996974e-15 -1.4639202e-14
    49 :  1.5506989e-02  5.4408382e-03  1.7528537e-02
    50 : -1.9172741e-09 -5.4900657e-09 -1.2545871e-09
    51 : -3.1706148e-26  4.4598986e-26 -5.0307692e-26
    52 :  1.6090779e-02  5.3637116e-02  4.9612996e-02
    53 : -1.5213984e-72  2.8618085e-72 -1.5748152e-72
    54 :  6.5919760e-32 -2.1909373e-31  3.3651306e-32
    55 :  2.0248871e-15  4.2517246e-14  8.3318855e-15
    56 : -3.7024068e-36 -6.2853199e-34  1.2769930e-33
    57 : -2.0048213e-10 -1.5659326e-10  2.8108899e-11
    58 :  2.3797642e-06 -5.5490766e-07  2.3984111e-06
    59 :  5.0187202e-40  4.6251365e-40 -3.6695813e-40
    60 :  7.4021538e-26 -5.2013911e-25  4.3866600e-25
    61 : -1.2087202e-29 -8.7427701e-30 -1.0216305e-29
    62 : -3.7176913e-08 -3.8237456e-08  8.7646624e-08
    63 : -1.1866847e-04 -1.4115155e-04 -2.5272261e-05
    64 : -1.9597072e-05  3.9779355e-05  5.3573224e-05
    65 :  3.1290180e-64 -7.4740439e-64  2.0950264e-64
    66 :  6.1290110e-26 -4.8757259e-27 -3.7219586e-26
    67 : -1.5763091e-01 -1.1125231e-01 -1.1291604e-01
    68 : -6.1412175e-15 -4.3451940e-16  1.8879130e-15
    69 : -1.1775319e-10 -3.5633283e-10  4.6888160e-10
    70 :  3.1426434e-03  2.8678915e-03  3.0898027e-03
    71 : -3.8120399e-02 -1.2958700e-02 -2.1701959e-02
    72 : -4.8286791e-42  1.4319695e-41  3.5624995e-41
    73 :  2.1091649e-36  2.5458197e-36 -4.8462862e-37
    74 :  5.4218126e-29 -1.0927070e-29 -3.2038755e-29
    75 : -2.2546849e-10  5.5054085e-10 -2.0932433e-10
    76 :  1.2252764e-03 -3.0004713e-03 -7.0994352e-04
    77 :  1.6940537e-27  1.3023347e-27  7.6991476e-28
    78 : -8.3886556e-24  4.4886508e-23  3.0175187e-25
    79 : -8.4489511e-16 -3.0442288e-16  1.2395624e-15
    80 :  4.3867065e-77  6.0915580e-77 -6.3781474e-77
    81 : -3.5985873e-15 -4.8109963e-15 -3.6820308e-15
    82 : -2.5708108e-28 -4.6464243e-28  1.3073875e-27
    83 :  9.9438750e-20 -5.8101794e-19 -3.0138792e-19
    84 : -7.1922824e-34  4.6727163e-33 -9.7283123e-34
    85 : -2.4992609e-02  2.7881235e-02 -6.2251405e-03
    86 :  3.2220618e-06  1.3770168e-06  6.1902726e-06
    87 : -1.4792691e-39 -4.1945705e-39  2.5185098e-39
    88 :  1.9901777e-42 -1.5807730e-42  7.3111473e-43
    89 :  6.2884178e-05  5.2169972e-05  7.0854579e-05
    90 :  8.5979993e-02  8.8971449e-02  8.5451762e-02
    91 :  2.4121261e-02  2.9357781e-02  4.0150071e-02
    92 : -1.3832980e-20  2.0522475e-19 -7.8842932e-19
    93 :  1.4772341e-21 -5.6910921e-21  9.2411262e-21
    94 : -1.7404325e-06  5.3772080e-07 -4.5825997e-06
    95 : -1.6253822e-11 -1.5318681e-11 -9.5077716e-12
    96 : -1.5862872e-15  3.6653391e-15  1.2274744e-15
    97 : -7.9961852e-12  2.5139111e-12 -3.2361549e-12
    98 : -2.4973629e-17  3.9328229e-18  1.4108022e-17
    99 : -1.2810211e-39 -5.7969214e-40  8.0135902e-40
   100 :  3.6875195e-70 -2.6899549e-70  2.1199290e-70
   101 : -1.7887480e-04 -2.2412322e-03 -9.1283260e-05
   102 :  1.7002468e-36  1.0383721e-36 -5.0133720e-36
   103 :  4.6519464e-31 -1.6826675e-30 -2.0770422e-30
   104 : -3.5850053e-03 -3.0104352e-03 -3.5164392e-03
   105 : -1.1663548e-44 -1.1918569e-45  1.1956366e-44
   106 :  2.8925431e-92 -3.9712618e-93 -1.7687637e-92
   107 :  1.7839014e-15  5.3656744e-15 -4.8089259e-16
   108 : -2.4435381e-98 -4.1900903e-99  3.6319606e-98
   109 : -1.4929592e-06  1.1382277e-06  5.4594545e-07
   110 :  5.1319846e-65 -2.1399311e-65 -1.0641763e-65
   111 :  4.2845514e-06 -2.4718328e-06  4.9106462e-08
   112 :  3.4583101e-02  2.7753044e-02  3.0261942e-02
   113 :  1.4329224e-10  9.7374434e-09 -1.6502266e-08
   114 : -5.9862495e-92  5.3725767e-91 -1.2166249e-90
   115 :  5.4620528e-12  1.9864856e-12  3.7336490e-13
   116 :  3.3324616e-13  4.1962130e-13 -8.0832188e-13
   117 :  4.5232861e-87 -6.2587081e-87  9.2647945e-89
   118 : -7.4364297e-98  1.6120275e-97 -3.8733420e-98
   119 :  2.5224191e-36  7.8793794e-37 -3.7225301e-36
   120 : -8.5757835e-29  3.5702393e-29 -1.1817083e-28
   121 : -1.0605901e-93  5.8496123e-94 -3.5932024e-94
   122 : -2.0316310e-08 -5.7912665e-08  4.0301591e-08
   123 : 4.0312745e-104 -3.9778545e-103 2.5086137e-103
   124 : -9.5091648e-87 -1.2229721e-87  1.3312468e-86
   125 :  4.8655004e-02  5.0138514e-02  4.5959361e-02
   126 :  6.0438284e-07  2.4746321e-06  1.2140511e-06
   127 :  3.7572488e-26  3.3446235e-26 -5.7071286e-25
   128 :  1.4149963e-03  1.1516439e-03  1.2774068e-04
   129 : -7.3918961e-14  1.4884526e-13 -5.4300323e-14
   130 : -9.0510568e-73  4.1387742e-73 -1.5665466e-73
   131 : -6.0886567e-113 3.5069500e-113 -1.5277835e-113
   132 : -2.1452851e-41 -6.8096247e-42 -1.0808419e-41
   133 : -1.3653512e-02 -6.4650358e-03 -2.1798011e-02
   134 :  1.3078206e-40 -4.4233205e-41 -4.5686564e-41
   135 : -1.7402309e-02 -8.9753562e-03 -2.6591261e-02
   136 : -9.0755932e-03 -1.7482380e-03 -3.3169529e-02
   137 : -2.7880499e-10 -3.7389378e-10  2.1084622e-10
   138 :  2.4126510e-18 -4.2275490e-17 -9.4289446e-17
   139 :  7.4167922e-73 -1.7973146e-73 -2.3715164e-73
   140 : -1.3001733e-20  6.6144671e-21  1.0222090e-20
   141 :  4.5294424e-07  9.9196167e-08 -5.2898990e-08
   142 : -9.1894468e-98  2.2763840e-97 -6.4725580e-98
   143 :  6.4736050e-08  4.6706477e-07  7.4677792e-07
   144 :  1.2616868e-96 -7.7253002e-97  1.3325711e-96
   145 :  6.7851308e-11 -1.6212732e-10 -1.9755698e-10
   146 : -3.2583068e-11 -7.7158831e-11  1.0445760e-10
   147 : -1.8261306e-117 -2.3940924e-116 3.0975381e-116
   148 : -1.6676253e-49 -1.5524285e-49 -1.0972424e-49
