Number of elements 23380
     0 :  4.1591045e-04  1.1569703e-04  3.3376563e-04
     1 :  3.1661619e-02  3.8226812e-02  2.0841487e-02
     2 :  5.6470637e-66 -8.6229446e-66  2.1265400e-65
     3 : -2.7195474e-36 -2.8889082e-36 -1.6931040e-36
     4 :  1.0987930e-65 -4.8209805e-65 -5.3187852e-65
     5 : -3.6184439e-36 -1.4488354e-35 -3.4403034e-36
     6 :  1.6055743e-02 -1.2307320e-02  2.3184920e-02
     7 : -7.5076697e-06 -2.2018327e-05 -1.4481621e-05
     8 :  5.5966988e-06  1.1738209e-04  1.4201873e-04
     9 :  4.4471972e-08 -3.8964628e-08 -1.1817976e-07
    10 :  1.5146520e-02  1.0611526e-02  1.8073074e-02
    11 : -1.1219957e-03  2.1540217e-03 -1.4144384e-03
    12 :  1.7707268e-02  2.5313591e-02  5.5139640e-02
    13 :  5.2993288e-02  4.9773391e-02  5.6337094e-02
    14 : -1.0033372e-02 -1.0027542e-02 -7.1483547e-03
    15 :  4.4376087e-07 -5.9656970e-06 -5.1652945e-06
    16 :  3.5008131e-03 -1.1755962e-04  2.4963029e-03
    17 :  5.0279375e-07 -2.9644001e-06  1.5284335e-06
    18 : -1.3242672e-20  1.0844650e-19 -1.8370614e-20
    19 :  6.3618947e-05  3.2686479e-04  5.8873242e-05
    20 : -5.7858889e-03 -6.8151633e-03 -6.0783017e-03
    21 : -3.8210104e-03  2.2607861e-02 -1.2152945e-02
    22 :  1.3032941e-57 -1.7238644e-57  4.8466413e-57
    23 : -2.4688657e-02 -2.1527729e-02 -1.5560495e-02
    24 : -4.8472399e-44  8.3421618e-44 -9.2931984e-44
    25 : -2.4649266e-02 -2.2372281e-02 -2.3693908e-02
    26 : -4.6358814e-03 -4.9060457e-03 -5.8449294e-03
    27 :  1.1380637e-02 -1.9131719e-02 -2.9126667e-02
    28 : -2.3850215e-02 -2.1542625e-02 -3.2361977e-02
    29 :  2.5927443e-02  2.3324902e-02  1.7986725e-02
    30 :  3.4838441e-02  3.0064077e-02  3.2582613e-02
    31 : -1.9529546e-38  2.4076203e-38 -1.3421175e-38
    32 :  1.3178514e-03 -2.8130966e-03 -6.8684436e-04
    33 : -2.4350812e-02 -2.2085059e-02 -1.8005476e-02
    34 : -1.8955630e-03 -1.9135480e-03 -1.6868065e-03
    35 :  7.1567363e-03  3.1817101e-03  7.6877916e-04
    36 :  4.5131774e-05 -1.3916374e-03 -1.2506067e-03
    37 :  2.1037874e-02  2.8049771e-02  1.9501589e-02
    38 : -4.2034704e-03 -5.3850425e-03 -4.2755361e-03
    39 : -1.0299398e-02 -1.0923875e-02 -1.1393489e-02
    40 : -3.3130976e-54  2.7130382e-54  7.8369203e-54
    41 : -8.6255733e-03 -2.3492482e-02 -1.4158271e-02
    42 :  9.0740921e-10 -2.1697159e-10 -1.5340223e-09
