Number of elements 23380
     0 : -1.1523335e-16  3.1610451e-16 -1.1345154e-16
     1 : -4.9723842e-13  1.5552079e-12 -6.7132344e-14
     2 : -2.7168917e-92  2.8607249e-92  3.5088447e-92
     3 :  1.9078179e-55  2.1167752e-55  4.8041301e-55
     4 : -1.1029938e-91  3.5388139e-91  1.3425653e-91
     5 :  1.6226610e-55 -4.6782759e-55 -2.2312386e-55
     6 :  7.4746532e-09  6.8284992e-09  5.7226755e-09
     7 :  5.0467081e-18 -3.0576623e-18 -6.1587892e-19
     8 :  5.5248142e-17 -1.3431644e-16 -2.8588976e-17
     9 : -1.0654517e-18 -7.7481205e-20  2.3486150e-18
    10 :  4.1014228e-02  3.2111476e-02  2.4696380e-02
    11 : -1.0588971e-14 -9.0980640e-17 -6.3909524e-16
    12 :  3.8489108e-09  2.4835372e-09 -2.9560805e-09
    13 : -2.9344767e-11  4.5537776e-12  3.3499075e-12
    14 : -1.2474591e-04 -1.2914270e-04  2.9727056e-05
    15 : -3.1593296e-16  8.5186180e-16  1.2934055e-15
    16 : -1.2477138e-05 -1.1452736e-05  1.5020126e-05
    17 : -1.4861929e-16  5.6862815e-16 -2.1582886e-16
    18 :  5.4389926e-35  1.4777321e-34  2.2373845e-35
    19 :  3.5194702e-16 -1.3625839e-16  3.7316065e-16
    20 :  4.1022514e-03  1.2074055e-03  4.0848816e-03
    21 : -1.1101470e-08  1.1733539e-08  1.3520304e-09
    22 :  1.2795216e-81  1.0330590e-81 -3.4770350e-81
    23 : -1.0369221e-02 -9.5912888e-03 -5.8759609e-03
    24 : -3.3487826e-64  3.7604429e-64 -5.6691298e-64
    25 :  5.2952144e-04 -6.7476607e-03 -9.8423019e-03
    26 : -1.6590887e-04  1.0321083e-04 -9.1259204e-05
    27 : -4.9590903e-03  9.6234938e-03 -5.0323825e-04
    28 : -4.0001823e-03  5.0051321e-03  1.5652088e-02
    29 :  5.7884834e-12  1.1065334e-12 -5.1103217e-12
    30 :  5.3753975e-02  4.8246183e-02  4.9311450e-02
