Number of elements 23380
     0 :  5.2653646e-09 -4.9218079e-09  4.6354595e-09
     1 :  2.9067278e-06  8.3935723e-06 -1.5865385e-06
     2 :  6.4254688e-78  5.1921409e-77 -6.3120853e-77
     3 :  9.2972389e-45  1.3766944e-44  9.0128742e-45
     4 : -1.2697813e-78  1.3165230e-76  1.8979234e-76
     5 :  1.7955153e-44  3.9620352e-44  4.0464709e-45
     6 :  1.7880593e-04  8.7471324e-04 -7.0360417e-05
     7 : -6.5737689e-10  4.4010822e-11 -4.2018271e-10
     8 : -2.6530919e-09  6.4386960e-09  3.6773710e-09
     9 : -1.5341672e-12  1.6905812e-13  3.3585444e-12
    10 : -2.3521283e-02 -2.3155027e-02 -1.7078010e-02
    11 :  3.2740365e-07  2.8144171e-07  2.3841324e-07
    12 :  2.8885373e-05 -7.4242454e-05 -1.6716236e-04
    13 : -2.0982962e-05  2.2461319e-05  4.3153100e-05
    14 :  5.3001597e-02  4.5488376e-02  5.9637084e-02
    15 : -8.4770309e-11  4.7327347e-10  5.2790795e-10
    16 :  5.4089344e-02  5.3168899e-02  6.5623041e-02
    17 : -5.1377740e-11  2.5496315e-10 -1.2077824e-10
    18 : -1.3526334e-26  8.3487860e-28 -1.1662526e-26
    19 : -8.2529993e-09  5.3917168e-09 -7.5621865e-09
    20 : -1.3256909e-03 -2.6726895e-03 -1.8577721e-03
    21 :  6.7757022e-04 -1.8769107e-05  7.8380850e-04
    22 : -3.9020767e-68  2.4626418e-68 -6.0599528e-68
    23 : -7.2229044e-03 -8.8494160e-03 -7.6195744e-03
    24 :  9.3854302e-53 -1.0631104e-52  1.6361645e-52
    25 : -2.3004425e-02 -1.6201886e-02 -8.7592067e-03
    26 :  1.1151415e-02  4.2749814e-03  5.6345284e-03
    27 : -9.7785087e-02 -2.8685197e-02 -4.2334818e-02
    28 :  5.0117445e-02  8.0688093e-02  7.0852085e-02
    29 : -8.4082315e-06 -8.1602433e-06 -1.7802258e-06
    30 : -8.4081551e-03 -1.0339183e-02 -9.4001404e-03
    31 :  8.0147646e-47 -1.3815053e-46 -5.7779150e-48
    32 :  9.9881953e-07 -2.0632870e-06 -5.2451611e-07
    33 : -6.8314926e-04 -8.7543268e-03 -9.5667403e-04
    34 : -3.0916942e-08 -3.8925181e-08  5.1872630e-09
    35 : -1.9072641e-02 -2.1372131e-02 -2.1521416e-02
    36 :  1.4563188e-07 -3.5136225e-08  2.1452671e-08
    37 :  1.4452983e-04  1.2641344e-04  2.5961277e-05
    38 : -4.2876375e-04 -1.1087822e-03  1.1291006e-04
    39 :  4.6139609e-02  4.6259641e-02  4.7568824e-02
    40 :  1.1687945e-64 -8.8044257e-65 -2.6647987e-64
    41 :  3.4131915e-02  3.6117577e-02  3.0279260e-02
    42 :  6.4856552e-15 -2.3638225e-15 -1.1309048e-14
    43 :  1.4822592e-02  1.6989984e-02  1.5863085e-02
    44 :  1.3592269e-03  1.9865062e-03  7.8154825e-03
    45 :  2.0264650e-02  1.7197301e-03  2.6485038e-02
    46 : -5.0299915e-05 -3.6126657e-05  7.0076291e-05
    47 :  5.6567050e-07 -2.4612208e-07  5.1855523e-07
    48 : -1.8898542e-04  2.1378029e-05 -1.8098485e-04
    49 : -3.1853877e-02 -2.6152485e-02 -3.8829757e-02
    50 :  7.6892019e-02  4.6759514e-02  6.7532959e-02
    51 :  2.7244821e-09 -1.7117652e-08  1.4450716e-08
    52 : -9.4393454e-02 -9.7170091e-02 -1.0224709e-01
    53 : -1.1632552e-49 -4.3104929e-50  2.4541794e-49
