Number of elements 23380
     0 :  1.0532495e-35 -3.3655512e-35  1.7052615e-35
     1 : -1.0569090e-29  2.2185778e-29  1.1559792e-30
     2 : 1.1039180e-134 -2.3301934e-133 1.8145542e-133
     3 :  3.6184301e-80 -1.0786705e-79 -4.7374744e-80
     4 : 4.6796076e-133 1.6655156e-133 -1.6942298e-132
     5 : -1.4910362e-80  3.0643377e-80  1.9000354e-80
     6 :  2.6662977e-22  2.7295901e-20 -1.1774713e-20
     7 :  3.6219868e-38 -1.2925410e-38  8.7020698e-39
     8 :  3.2163508e-39 -3.3584253e-38 -7.2268550e-39
     9 :  3.2104201e-33 -2.9993647e-33 -5.5544544e-33
    10 : -1.5660033e-09  1.4406322e-08 -1.6544675e-08
    11 : -2.8224506e-32 -2.0375298e-32  2.3498612e-32
    12 : -6.7818417e-22 -6.9047314e-21  1.2629348e-21
    13 :  4.3529189e-27 -4.4417319e-27 -8.5522876e-28
    14 :  4.5536950e-15 -4.4262444e-15 -5.9813657e-15
    15 :  6.5342530e-30 -1.5579847e-29 -1.9170747e-29
    16 : -6.4098000e-16 -2.4664186e-16  2.5764880e-15
    17 :  2.9391907e-30 -9.0186775e-30  2.4453232e-30
    18 :  9.6335611e-55 -4.7068613e-54  1.1393763e-54
    19 : -3.9409589e-35  3.1631218e-35 -4.7080838e-35
    20 :  1.6893591e-09 -1.2047135e-09  1.6261684e-09
    21 :  1.2509049e-20 -4.1384954e-21  4.8728174e-20
    22 : -9.4575719e-118 -7.4855244e-118 2.5460814e-117
    23 : -3.0505368e-09 -5.6599700e-10 -3.9958709e-09
    24 : -1.2659847e-95  1.3954359e-95 -1.9866983e-95
    25 :  3.0159767e-10  5.4850585e-10  3.4430136e-10
    26 : -5.4717353e-20  3.5765875e-20 -6.7126839e-21
    27 : -7.1581818e-14  1.5102640e-13  2.1838007e-14
    28 : -6.4219887e-02 -9.7258929e-02 -7.0685956e-02
    29 :  2.8104338e-26  5.0093411e-27 -8.3905913e-28
    30 :  7.6706789e-11 -5.7271355e-11 -3.6613024e-11
    31 :  6.5544239e-86 -3.4450390e-86 -1.3570055e-85
    32 :  2.4819019e-22 -5.0134229e-22 -2.3588599e-22
    33 : -1.6770593e-12  1.4655655e-12 -1.0293042e-12
    34 :  2.8266512e-37  3.0420289e-37 -1.0716503e-36
    35 : -2.3247235e-13  7.2956965e-14  1.0555175e-13
    36 :  9.5304436e-36 -3.4353256e-36 -5.5715347e-36
    37 : -1.3717086e-28  1.4000141e-27 -2.6486215e-27
    38 : -9.5563064e-12  4.0157616e-11  3.8747712e-11
    39 :  5.6287547e-22  3.1803595e-22  2.6120578e-22
    40 : 3.2883937e-115 -4.1700225e-114 3.5845423e-114
    41 :  7.5806043e-02  9.1043572e-02  7.2689297e-02
    42 : -1.0371612e-38 -6.3712738e-38  7.1730920e-38
    43 :  1.0967152e-11 -8.7875682e-12 -3.5015737e-12
    44 :  1.9379969e-05  1.4242826e-05 -1.4674543e-05
    45 :  1.8039409e-01  1.1847289e-01  1.7413481e-01
    46 :  1.3550162e-33 -5.1798531e-33  2.2178510e-33
    47 :  1.4535924e-37 -1.7514452e-37  1.0949236e-37
    48 : -2.5944855e-19  1.3245408e-19  1.8843099e-20
    49 : -7.3096046e-02 -8.6737847e-02 -6.5165263e-02
    50 :  7.4608775e-14  3.3431285e-14  6.3956403e-14
    51 :  8.0443859e-36 -9.4634946e-36  1.2807680e-35
    52 : -2.1812601e-02 -4.4624262e-02 -3.1321651e-02
    53 :  4.5161059e-83 -9.8175922e-83  9.1195600e-83
    54 :  1.6070691e-39 -9.7485063e-40 -2.0681983e-40
    55 : -1.1415199e-22 -8.7494986e-25 -1.0526384e-22
    56 :  2.0394191e-46  1.7854984e-45 -3.7451422e-45
    57 :  1.6816020e-15  1.3986815e-15 -8.1082135e-16
    58 : -2.7422165e-13  2.6619726e-12 -3.3278422e-12
    59 : -5.3320849e-53 -6.1382693e-53  4.3384586e-53
    60 : -2.3474015e-33  2.2059717e-33  6.0404075e-33
    61 :  2.1873980e-37 -2.6519741e-37  2.4806293e-37
    62 :  4.6385376e-13  4.8873144e-14 -6.0935761e-14
    63 : -1.8420464e-08  4.6330104e-08  2.6920068e-07
