Number of elements 23380
     0 :  1.6351927e-02  1.9674590e-02  1.9198563e-02
     1 : -8.3767077e-03 -8.5360916e-03 -6.1707065e-03
     2 :  4.0015328e-52 -5.2025939e-52  1.0548565e-51
     3 :  2.9890265e-26  2.9716904e-26 -7.4038702e-27
     4 :  4.2416251e-52 -1.1485916e-51 -1.7078939e-51
     5 :  4.1819898e-26  2.7140970e-26  3.2185843e-26
     6 :  5.6458433e-03  1.3582106e-02  3.9838546e-03
     7 : -1.1852462e-02 -1.6196882e-02 -1.1506296e-02
     8 : -2.2493972e-02  3.0120196e-02 -2.6916253e-02
     9 :  9.8803830e-04  6.3875848e-05 -1.3049298e-03
    10 :  1.0611417e-02  9.8666949e-03  1.0268761e-02
    11 : -9.9596367e-04 -2.2865717e-03 -2.9263582e-03
    12 :  5.6857947e-03  3.1891103e-03 -1.1020587e-02
    13 : -5.1120744e-03 -1.5931975e-02 -1.6719012e-02
    14 : -2.2060833e-02 -2.3076358e-02 -2.1598893e-02
    15 :  2.2074541e-02  3.8925820e-02  2.2358063e-02
    16 : -5.1760776e-03 -3.1566239e-03 -8.5056565e-03
    17 :  1.9133523e-02  2.2021878e-02 -4.4599852e-03
    18 :  4.6362958e-13  2.2055163e-12  5.3926849e-13
    19 :  1.7556018e-02  1.7842458e-02  1.9170403e-02
    20 : -2.8433466e-04  2.9172422e-03 -1.1404007e-03
    21 :  1.0472890e-02  4.6172471e-03  1.3353926e-02
    22 : -1.7545530e-45 -4.9570642e-45  1.5670637e-44
    23 :  9.4437447e-03  7.9282992e-03  7.6726758e-03
    24 :  7.4192368e-33 -4.7929510e-33  1.1373610e-32
    25 : -5.8511242e-03  9.9727108e-03  1.1495952e-02
    26 : -1.6337917e-04  3.2427943e-03  3.8156926e-03
    27 :  3.0129912e-03  8.9915213e-03  1.5818629e-02
    28 :  7.6828399e-02  7.3361842e-02  7.0141467e-02
    29 : -2.0424634e-02 -2.0348602e-02 -2.3149941e-02
    30 : -1.0828544e-02 -8.8924258e-03 -1.0028658e-02
    31 :  3.8567323e-28 -8.2807312e-28 -3.2476601e-28
    32 : -1.1852408e-02  7.2111356e-03  4.6672286e-03
    33 :  2.1093491e-02  1.5542354e-02  1.4792613e-02
    34 :  4.5172551e-03  9.4301114e-03  4.6328399e-03
    35 : -7.9785615e-03 -7.8764715e-03 -9.6975370e-03
    36 : -4.2561532e-03 -8.5102697e-03 -4.9473805e-03
    37 :  1.3715954e-02  1.0107772e-02  1.2022445e-02
    38 :  1.2373724e-02  9.6977513e-03  9.4864332e-03
    39 : -7.4523253e-03 -7.3263384e-03 -9.2295386e-03
    40 : -6.4830209e-42  4.6148191e-42  1.5328354e-41
    41 : -2.8306750e-02 -2.9162113e-02 -3.0435443e-02
    42 : -7.3066597e-05 -1.5007369e-04 -7.9814604e-05
    43 :  8.5987700e-03  1.1401879e-02  1.1625467e-02
    44 :  2.0599986e-02  1.3242784e-02  5.9676728e-03
    45 :  2.9575572e-02  3.5814554e-02  2.2206651e-02
    46 : -2.6903539e-03  7.0814167e-03  1.3218306e-02
    47 : -1.1795748e-03 -5.0217563e-03 -4.0428438e-04
    48 : -2.9891605e-02 -2.7587172e-02 -2.2947104e-02
    49 : -9.9319858e-02 -9.7752894e-02 -8.5849302e-02
    50 : -1.4009585e-02 -3.2976363e-02 -1.7668253e-02
    51 :  9.8979065e-03  9.5056054e-03  1.6832389e-02
    52 : -4.2606112e-03  1.7402795e-02  1.3110993e-02
    53 :  8.3307281e-31 -5.1662005e-31 -3.7333395e-31
    54 :  5.5830698e-02  6.8593952e-02  4.6547127e-02
    55 : -4.6597390e-03 -3.8603666e-03 -3.2948240e-03
    56 :  4.9116634e-03 -6.6265519e-03  1.9533708e-02
    57 :  1.4536809e-03  4.9945194e-03  8.2082645e-03
    58 :  9.0204853e-03  5.4983614e-03  7.7765753e-03
    59 :  7.7973057e-03  8.3649952e-03  5.3216329e-03
    60 :  2.0132524e-02  1.9431159e-03  2.8975382e-03
    61 :  1.0370665e-02 -2.1614979e-03  7.7923163e-03
    62 :  9.3770196e-03  8.3230697e-03  1.1462308e-02
    63 :  1.5463908e-02  1.3834164e-02  1.1640682e-02
    64 :  3.4043495e-02  2.1460060e-02  2.2584459e-02
    65 :  1.9536703e-25 -6.3409474e-25  2.1315829e-25
    66 : -9.2683940e-04  1.2604985e-03  1.2129847e-03
    67 :  1.2261772e-01  1.2017161e-01  1.6260004e-01
    68 : -1.8370321e-02 -5.7813240e-03 -5.1601671e-03
    69 :  2.9534749e-02  2.2806797e-02  2.3469918e-02
    70 : -1.2354654e-02 -1.3821980e-02 -9.1422668e-03
    71 : -7.4642523e-02 -7.3786563e-02 -8.4788779e-02
    72 :  2.2582865e-09  1.3422343e-08  7.8176344e-09
    73 : -3.3015731e-09 -3.2950796e-08 -7.7723353e-09
    74 :  8.3227935e-04 -4.1004297e-04 -3.0872118e-04
    75 : -3.6111945e-03 -8.8662063e-03 -8.7168054e-03
    76 : -1.3391692e-01 -1.0805082e-01 -1.1630632e-01
    77 :  1.8905126e-02  1.5097607e-02  1.3219228e-02
    78 :  3.8976249e-02  1.1213091e-02  1.0661361e-02
    79 : -1.0527732e-02 -3.7170397e-03 -5.2474601e-03
    80 :  2.5509366e-24  3.0468327e-25 -2.5221904e-24
    81 : -1.6260256e-03 -1.3401077e-03 -1.2610200e-04
    82 :  4.0370667e-05 -1.1430772e-04 -8.0416939e-04
    83 : -8.5436685e-04 -1.4337854e-02 -1.0204837e-02
    84 :  3.7449049e-02  3.6883631e-02  3.5680879e-02
    85 :  7.0150755e-03  1.6996667e-02  1.4049849e-02
    86 : -1.5187803e-03 -1.8634433e-03 -1.7718664e-04
    87 : -1.9437387e-06  3.7776248e-05 -1.3754620e-05
    88 : -1.4605465e-11  1.1566531e-11 -1.1747778e-11
    89 : -6.1317221e-04  8.9660184e-04 -4.8217167e-04
    90 : -2.3592694e-02 -2.5245037e-02 -1.9272604e-02
    91 : -1.8218393e-02 -2.0680141e-02 -1.9532053e-02
    92 : -1.9085263e-02 -2.0021421e-02 -1.7394044e-02
