Number of elements 23380
     0 : -1.1684221e-03  8.0219349e-03 -8.5165921e-04
     1 :  2.7273899e-02  1.7445802e-02  3.6634167e-02
     2 : -5.1700084e-62 -1.7995299e-61  7.4999657e-62
     3 : -1.6640102e-33  9.4043972e-34 -1.0544504e-33
     4 : -1.0260041e-61 -4.0315903e-62 -1.7386400e-61
     5 : -2.4358892e-33  1.0061832e-33  1.6747679e-33
     6 : -1.1895629e-02 -4.0873945e-03 -1.3578899e-02
     7 : -7.4712435e-04 -4.2892988e-05 -6.2679418e-04
     8 : -2.3312337e-03 -6.2464338e-04 -1.8321425e-03
     9 :  7.3143470e-07  5.7322678e-07 -7.8496475e-07
    10 :  1.8562976e-03 -1.2001881e-02 -2.5398864e-02
    11 :  4.3210261e-02  4.5054211e-02  4.2495164e-02
    12 : -1.2511800e-02 -1.4122792e-02 -1.7577623e-02
    13 : -1.9475689e-02  2.2665379e-03 -1.6146006e-02
    14 : -2.2667359e-02 -2.3945477e-02 -1.6542668e-02
    15 :  4.9013712e-05 -2.4460569e-05  1.0204395e-05
    16 : -2.0841970e-02 -1.8782581e-02 -1.9002221e-02
    17 :  3.6262262e-05  3.4522127e-05  4.1921493e-06
    18 :  8.5598312e-19  1.1337520e-17  4.2437394e-19
    19 :  3.2228271e-03 -8.3222972e-04  7.7035542e-03
    20 :  4.2239467e-03  3.5633596e-03  4.4366084e-03
    21 : -4.5048529e-03 -1.3849514e-02 -3.7759205e-03
    22 :  5.3809978e-54  4.1666293e-54 -1.3242997e-53
    23 :  1.6617086e-03  6.8090666e-03  2.0398754e-03
    24 : -1.0751831e-40  8.5272328e-41 -1.7360818e-40
    25 :  3.6010422e-03  1.0188786e-02  8.7167494e-03
    26 : -6.0896624e-03 -3.2077300e-03 -3.9590529e-03
    27 : -6.9553242e-03  2.6855187e-02  2.7991841e-02
    28 : -6.5978691e-02 -5.9083661e-02 -4.7831554e-02
    29 :  3.8925772e-02  3.4984816e-02  5.0176526e-02
    30 : -3.1323309e-03 -5.7632640e-03 -1.1855981e-02
    31 : -1.5547630e-35  3.2838959e-35  1.3886840e-35
    32 : -8.7921352e-03  2.2161238e-02  9.8078884e-03
    33 :  3.7878737e-02  3.3944208e-02  3.6194643e-02
    34 :  2.5839792e-02  2.3264431e-02  2.8567700e-02
    35 : -7.4550226e-03 -2.3153809e-03 -2.5814375e-03
    36 :  4.2280000e-02  3.8133344e-02  3.6913589e-02
    37 :  3.3172987e-04 -2.9934935e-03 -2.9880745e-03
    38 : -2.0592246e-03  1.6404504e-04 -1.5253774e-03
    39 : -1.8039051e-02 -1.8683906e-02 -1.7276128e-02
    40 :  2.2019643e-51  3.4187385e-51 -8.2558320e-53
    41 :  3.2279046e-02  3.6807663e-02  2.7773518e-02
    42 :  2.6684500e-08  6.1446295e-09 -3.6694460e-08
    43 : -6.6628153e-05  1.3034961e-03  3.0883397e-03
    44 : -1.0468763e-02 -7.4150240e-03 -9.4691119e-03
    45 : -1.8028274e-02 -1.5409043e-02 -2.0545761e-02
    46 :  1.2253920e-03  5.4895760e-03  5.2038858e-03
    47 :  2.3972662e-02  2.6018623e-02  2.6750235e-02
    48 : -3.6500445e-02 -5.2383345e-02 -4.8393522e-02
    49 : -1.7017046e-02 -1.0262401e-02 -7.8154668e-03
    50 : -2.0554604e-02 -2.5744842e-02 -2.3069626e-02
    51 :  4.9161942e-03 -7.1685061e-04  4.6143182e-03
    52 : -1.6245606e-02 -4.2797096e-02 -3.5578821e-02
    53 :  1.2373022e-38 -5.5711226e-39 -1.3017216e-38
    54 :  2.5487441e-06  2.3958685e-05  3.9276780e-06
    55 : -1.4235714e-02 -1.1987928e-02 -1.3121190e-02
    56 : -1.4488931e-05  7.4985391e-06 -1.3890846e-05
    57 : -7.5373270e-03 -3.6897364e-03 -1.1763685e-02
    58 : -8.0655130e-03 -1.3229372e-02 -4.9270563e-03
    59 : -2.5638441e-07  1.6866054e-08 -5.9755807e-07
    60 :  3.0625949e-04 -8.8831018e-04 -1.2294142e-03
    61 :  2.7046656e-06 -3.5234909e-06  6.1234119e-07
    62 : -5.8837645e-03 -4.5382864e-03 -4.0379611e-03
    63 :  3.3152687e-03  9.7420240e-04  1.0658716e-03
    64 : -1.0654787e-02 -8.1542058e-03 -8.2103455e-03
