Number of elements 23380
     0 : -2.3878653e-11  8.7340098e-11  1.0979931e-11
     1 : -4.0967520e-08  8.4695110e-08 -4.9469711e-08
     2 : -2.7101823e-82  1.3841958e-81 -1.1390171e-81
     3 : -4.5916427e-48  1.7317969e-47 -8.7998221e-48
     4 : -1.9804039e-81  8.7309054e-81  7.7871050e-81
     5 : -6.9807113e-48  4.1333876e-47  2.8733735e-47
     6 :  2.5322305e-05  1.2546003e-05  1.5129708e-05
     7 :  1.9547981e-12  1.2977599e-12  2.5964203e-12
     8 : -1.3746358e-11 -4.3356847e-12 -2.2887294e-11
     9 : -2.6620131e-14  1.6373196e-14  6.3846338e-14
    10 : -4.3927028e-04 -2.4651658e-03 -6.6817420e-03
    11 :  4.9697024e-10  3.7536926e-09 -3.2025051e-10
    12 :  1.7935154e-05  1.0203189e-05 -7.1016897e-06
    13 : -1.5053971e-07  1.9175861e-07  5.7547789e-07
    14 :  3.0762666e-02  3.7718620e-02  1.0265720e-02
    15 :  6.0702454e-13  6.5430579e-12  1.1023333e-11
    16 : -6.2167934e-03 -5.3986333e-03 -1.4899519e-03
    17 :  1.2272038e-14  7.0912155e-12 -2.5880775e-12
    18 : -3.1787665e-29 -1.2079263e-28 -9.5036841e-30
    19 :  9.1577339e-11  2.6201493e-11  6.4370992e-11
    20 : -2.1278438e-03 -9.3288730e-04 -2.1795891e-03
    21 : -6.2254819e-06  2.2147204e-05  4.9331742e-07
    22 :  1.3916251e-72  6.5732503e-72 -1.9738130e-71
    23 : -1.1357190e-02 -1.0527007e-02 -3.6690511e-02
    24 :  6.5432347e-57 -1.7837177e-56  1.2641182e-56
    25 :  7.3625452e-02  1.5387077e-02 -1.0505953e-02
    26 :  4.1413619e-02  3.9196372e-02  3.9269242e-02
    27 :  1.3673587e-01 -5.6019184e-02 -3.5940684e-02
    28 : -1.5723356e-01 -1.7180300e-01 -1.5577546e-01
    29 : -1.7980523e-07 -1.6815941e-07  5.7848218e-08
    30 : -1.7683587e-02 -1.5078418e-02 -1.2166993e-02
    31 :  1.0321438e-50 -1.1030967e-50  4.9132638e-50
    32 :  2.1233237e-08 -7.9991563e-08 -7.0978316e-08
    33 : -1.7539707e-02 -1.0565793e-02 -1.8749967e-02
    34 : -7.3004347e-11  8.4236470e-11 -5.3105006e-10
    35 :  7.1444508e-03  7.5160324e-03  1.2862360e-02
    36 : -1.0774730e-09 -2.7659248e-10 -6.5190589e-10
    37 :  2.8786599e-06  6.8752278e-06 -6.9176703e-06
    38 :  2.9003722e-03  1.7755476e-03  2.3428856e-03
    39 :  3.5724177e-02  4.1504535e-02  3.6198647e-02
    40 :  1.0666964e-68 -3.8293468e-69 -1.9503478e-68
    41 : -2.1248702e-02 -3.5224672e-02 -2.6599356e-02
    42 :  4.4022824e-17  3.0476808e-17 -8.7489273e-17
    43 : -7.0514379e-03 -7.7074951e-03 -8.3620799e-03
    44 : -2.0206331e-03 -1.4691354e-03 -1.1530885e-02
    45 : -7.4405905e-03 -1.9067804e-02 -1.2496197e-02
    46 :  1.5096076e-06 -1.1794647e-06 -2.5666949e-06
    47 : -6.7104036e-09  4.9742801e-10 -4.5318930e-09
    48 : -1.0062951e-05 -7.2049186e-06 -7.1847032e-06
    49 : -6.2068840e-02 -4.9208631e-02 -4.6700693e-02
    50 : -2.4780751e-03  3.3002340e-02  6.0664114e-03
    51 : -2.7169914e-10  7.8347735e-11 -3.2867315e-10
    52 :  4.1306066e-02  4.6138146e-02  4.0629835e-02
    53 :  2.0634219e-53 -3.9762541e-52  5.4998203e-52
    54 : -1.1233416e-15  1.7642708e-16  4.9504131e-16
    55 :  1.4058215e-02  4.2501809e-03  1.0781037e-02
    56 :  9.9858208e-16 -2.2506313e-15  4.1011352e-15
    57 : -8.0994073e-03 -7.2680738e-03 -2.8474048e-03
    58 : -3.9264288e-05  3.2841976e-03  6.9103832e-03
    59 :  1.9700078e-18  1.3692503e-18 -7.3200778e-19
    60 : -2.0557320e-13  5.1956283e-12  5.9209133e-12
    61 : -8.1149927e-15  4.5829781e-15 -4.6516802e-15
    62 :  4.1064301e-03  3.8676417e-03  3.6399646e-03
    63 : -1.5120860e-02 -1.1198008e-02 -9.7923670e-03
    64 : -2.8828035e-02 -1.5439206e-02 -1.9459369e-02
    65 :  8.3479124e-46 -2.1819139e-45  6.7958483e-46
    66 :  4.6560043e-14  2.0271024e-14 -2.0357417e-14
    67 : -1.0027876e-01 -1.1908499e-01 -1.2643494e-01
    68 : -1.8416851e-06  6.6766772e-07  1.0958311e-06
    69 : -3.9895173e-04  2.1851206e-03 -1.3265174e-02
    70 : -9.3516777e-03 -6.2525677e-03 -8.0872085e-03
    71 : -3.4594725e-02 -3.0940795e-02 -3.8112232e-02
    72 : -5.1311661e-25  4.2127865e-26  8.7163264e-25
    73 : -3.4320595e-22  2.2966124e-22  1.0791515e-21
    74 : -5.3312150e-17  2.4407253e-17 -3.2316474e-16
    75 : -2.6842917e-03  1.1165655e-02 -2.3545015e-04
    76 : -6.4947134e-02 -5.1943653e-02 -6.5166939e-02
    77 :  7.6008422e-12 -7.4690887e-12 -2.3958953e-11
    78 :  1.6889609e-12  1.9212456e-11  2.6322817e-12
    79 : -5.4653488e-06 -7.0283359e-06 -1.7946642e-06
    80 :  1.1265498e-49  3.6965080e-50 -1.4034262e-49
    81 : -2.5232226e-03 -5.8492455e-03 -5.6196370e-03
    82 : -1.5030854e-13 -3.4131557e-13  9.8347432e-13
    83 : -1.1215997e-06  1.2055468e-06  8.3299650e-07
    84 : -1.1864914e-15  7.5634233e-15 -1.0787034e-15
    85 : -9.9509806e-03 -1.7620557e-03  5.6535018e-03
    86 :  1.4409233e-03  9.9673685e-04  1.8596971e-03
    87 :  6.1759829e-21  2.4234516e-20 -4.1420046e-21
    88 :  6.2996325e-28 -1.1939320e-27  2.0817257e-28
    89 :  1.6102086e-02  1.2836312e-02  1.5644611e-02
    90 : -1.3888698e-02 -1.7232250e-02 -1.3549792e-02
    91 :  8.8923705e-03  6.6046634e-03  1.1481257e-02
    92 : -2.1494463e-07 -2.3153031e-07 -3.0076121e-07
    93 :  2.0372878e-10 -2.5033271e-10  3.1526334e-10
    94 : -1.1092479e-02 -7.4314381e-03 -1.2150184e-02
    95 :  3.1584464e-02  4.5673287e-02  3.8269660e-02
    96 :  1.6743927e-06 -2.0242289e-06  1.1611870e-06
    97 :  5.3015371e-02  5.7927092e-02  5.2462183e-02
    98 :  6.4826282e-06 -4.1423732e-06  2.8918008e-07
    99 : -2.0788720e-19 -1.6386819e-18  9.5114888e-19
   100 :  3.2138290e-45 -2.1743466e-45  4.7671698e-46
   101 : -1.6323268e-03  6.0228981e-04 -1.9110421e-03
   102 :  1.2995172e-22  4.0764082e-23 -1.6685114e-22
   103 : -9.6056403e-13 -8.5822052e-14  3.8703524e-13
   104 : -1.9531075e-02 -2.0544231e-02 -1.2516070e-02
   105 : -3.6612869e-29 -1.5952406e-29  8.0336399e-29
   106 :  3.3175847e-68  3.7163819e-67 -8.3430009e-67
   107 : -1.4444551e-05 -3.3243950e-05 -3.6626372e-06
   108 :  5.1131438e-76 -1.4549894e-75  2.6874534e-75
   109 : -2.4184495e-02 -2.5124665e-02 -2.5609175e-02
   110 : -6.4908348e-46 -4.4452094e-44  1.4197690e-44
   111 : -7.3870736e-03 -8.3683437e-03 -7.8444428e-03
   112 : -9.9608046e-02 -1.2177125e-01 -9.9094281e-02
   113 :  1.2519169e-01  4.9150800e-02 -3.7699742e-02
   114 :  4.2218105e-66 -1.8558286e-67 -1.0661153e-66
   115 :  2.7671736e-02  4.6579609e-02  5.7315422e-02
   116 : -3.9148770e-04  2.2678458e-06  3.8518313e-04
   117 :  1.0965201e-63  9.7339810e-63 -3.3261126e-63
   118 : -1.7399336e-71  3.8905602e-71 -4.8632028e-72
   119 :  1.6002983e-21  1.4254295e-21 -5.0710916e-21
   120 : -2.3131869e-12  5.4636128e-12 -4.9581599e-12
   121 :  3.1328905e-68 -2.2201980e-68  9.0601902e-69
   122 :  1.6242406e-02  6.9088509e-03  1.6380999e-02
   123 :  2.1401617e-75 -1.4040326e-74  8.1739891e-75
   124 :  3.5805988e-63 -8.1300846e-63  2.4320188e-62
   125 : -8.4200918e-03 -5.0672245e-03 -7.0750527e-03
   126 :  1.8714252e-02  1.6790814e-02  1.8924830e-02
   127 : -6.8790677e-10 -5.5191154e-10  2.7363333e-09
   128 : -1.5398521e-02 -1.9754461e-02 -1.9910860e-02
   129 :  1.4923976e-03  1.6195008e-02  3.3666426e-03
   130 : -3.6443105e-50  1.2853454e-50  1.0242689e-51
   131 : -2.8726601e-82  1.4948183e-82 -3.6207395e-83
   132 : -1.4636184e-26 -2.7174410e-26  9.8344251e-26
   133 : -3.1327183e-02 -4.1002293e-02 -3.8314779e-02
   134 : -1.4991400e-25  7.1155025e-26  3.8631336e-26
   135 :  3.0090716e-03 -7.1905421e-03  1.0225758e-02
   136 : -6.0035871e-02 -4.8102415e-02 -1.0838777e-01
   137 :  3.7031904e-04  1.6540501e-03  5.9360008e-04
   138 :  8.7923940e-04  7.0343330e-04  1.2221445e-04
   139 :  3.5885023e-51 -4.6923418e-52 -1.3031558e-51
   140 :  3.0940781e-09 -5.6398852e-09 -5.2596132e-09
   141 :  8.6221599e-03  2.3227816e-02  3.2032425e-02
   142 :  5.0440238e-75 -6.9641642e-75  1.2850736e-75
   143 :  1.8695656e-03  1.2988588e-03 -3.2758955e-03
   144 : -6.8030942e-70 -1.8694896e-69  4.6723946e-69
   145 :  1.5247874e-02  2.7134405e-02  2.2044228e-02
   146 :  1.7939546e-04  2.4102171e-04 -3.0972489e-04
   147 : -1.3305993e-85 -4.9332945e-85  7.8222900e-85
   148 :  2.8488928e-32 -7.0340706e-32  1.6849117e-32
   149 :  6.3023696e-41  5.2827503e-41 -3.1184566e-41
   150 : -1.8441417e-11 -3.1499547e-11  1.5560857e-11
   151 : -5.5533995e-10  1.0926974e-10  3.8509616e-11
   152 : -3.4420544e-03 -3.9597283e-03 -1.1916993e-03
   153 :  8.1029146e-32 -4.9334040e-32  1.7387282e-32
   154 :  1.4783504e-28  2.5186612e-28 -7.1231364e-28
   155 : -4.3538198e-03 -2.7093545e-03 -4.6286693e-03
   156 :  4.6857234e-02  5.4378520e-02  4.5434626e-02
   157 : -7.1328131e-03 -4.3208663e-03 -6.8885287e-03
   158 :  9.7187261e-02  1.6724267e-02  1.4981055e-01
   159 : -3.4576843e-47  2.8206371e-46 -1.4986082e-46
   160 :  9.6888831e-09  1.5987815e-08 -2.6279512e-09
   161 : -9.9629380e-03 -1.6027936e-02 -7.7883483e-03
   162 : -7.1695917e-06 -4.1624429e-06  2.2702542e-05
