Number of elements 23380
     0 :  3.4823160e-32 -1.0662606e-31  3.5247157e-32
     1 :  8.8834744e-27  1.5949880e-26 -9.9342339e-28
     2 : -7.7876052e-126 -9.4791996e-125 9.3263405e-125
     3 : -4.1425427e-75  1.1428693e-74  5.4101171e-75
     4 : 1.1059731e-124 1.3208809e-124 -6.0772150e-124
     5 :  1.7351448e-75 -3.5631979e-75 -2.6212998e-75
     6 : -3.6017528e-19  4.0524412e-18 -1.8600503e-18
     7 : -1.0198949e-35  1.1928092e-35  5.8594405e-35
     8 :  1.4411528e-34 -6.0490623e-35  4.7717193e-35
     9 :  4.2583799e-31  1.1663174e-30 -1.3984733e-30
    10 :  5.3513144e-07 -6.5573034e-06 -5.9312048e-06
    11 : -3.2546013e-29 -2.9035311e-29 -1.0208289e-29
    12 : -3.2205174e-19 -1.0566669e-18  2.5199457e-19
    13 :  5.0765934e-24 -2.3718040e-24  2.5873551e-26
    14 : -2.5051317e-13 -6.9152049e-13 -2.5456995e-13
    15 :  6.9951693e-27 -7.8914027e-27 -1.1520059e-26
    16 : -6.5227583e-14 -4.5556476e-14  1.4429915e-13
    17 :  1.5343776e-27 -2.4798790e-27  6.3308952e-28
    18 : -3.5573250e-51  1.5425395e-50 -9.5293991e-52
    19 : -8.2530302e-32  3.9287136e-32 -1.0891814e-31
    20 :  7.7787817e-10 -4.1473645e-08 -2.4598700e-11
    21 :  3.9666202e-18 -1.3616831e-18  6.4797673e-18
    22 : -8.4819193e-110 -7.5375482e-110 2.5023687e-109
    23 :  1.8784051e-08  3.9959599e-08 -5.4590439e-08
    24 :  3.2841059e-88 -3.6918040e-88  5.2626076e-88
    25 : -1.0588312e-08  7.2956486e-09  2.5075476e-08
    26 : -6.9003166e-17  1.5835858e-16  4.0278553e-17
    27 :  1.0418072e-11 -1.5621425e-11 -2.1905150e-12
    28 :  9.7722836e-02  1.1032356e-01  1.3594562e-01
    29 :  5.8681952e-24  1.3129330e-24  1.1421261e-24
    30 :  3.4300617e-09 -3.1594970e-09 -2.2640120e-09
    31 :  6.9940746e-81  4.6855635e-80 -1.1066575e-79
    32 :  1.9825293e-20 -3.1028577e-20 -3.7540388e-21
    33 :  2.3418428e-11 -6.0836572e-13  8.7249378e-11
    34 : -4.3079623e-34 -2.7504546e-33  9.0082199e-33
    35 : -5.9096871e-11 -2.1269150e-11  1.0565511e-11
    36 : -5.9571775e-32  2.4464475e-32  2.1644859e-32
    37 :  1.5475053e-24 -3.5727369e-24  7.1527146e-24
    38 : -1.1041732e-09  3.4898824e-09  2.8948194e-09
    39 :  8.2660540e-20  2.9418161e-18 -1.4928260e-18
    40 : -5.4366506e-106 2.9964568e-107 1.2436147e-105
    41 :  8.5064120e-02  9.3508552e-02  8.4270664e-02
    42 :  1.0002024e-35 -9.1096382e-35  5.4149683e-35
    43 :  2.4333819e-09  2.2840366e-09  2.2017183e-09
    44 : -2.1559292e-04 -1.5707438e-04  1.1132600e-04
    45 :  7.8287338e-02  8.0963502e-02  8.5241422e-02
    46 :  1.4860327e-29 -9.0244326e-29  6.6682200e-29
    47 :  2.9734557e-33  7.0925129e-33 -3.3861071e-33
    48 :  7.4429458e-18  2.8324167e-18  8.9418057e-18
    49 : -7.6081568e-02 -6.9959193e-02 -6.9593928e-02
    50 :  3.1780035e-12  1.0592562e-11  1.1224586e-12
    51 : -5.2277737e-32  5.5287898e-32 -7.9690796e-32
    52 : -2.2598972e-02 -2.5375773e-02 -2.7157403e-02
    53 :  5.8690806e-79 -1.9457944e-81 -8.0264413e-79
    54 :  2.0526082e-36 -1.3054779e-36 -2.6051196e-37
    55 : -4.3368476e-20  1.6930918e-19 -3.8157468e-20
    56 : -5.5109361e-42 -6.8334799e-41  1.4396026e-40
    57 :  1.1326797e-13  1.0099410e-13 -7.5993508e-14
    58 :  1.0773791e-09  1.6197621e-09 -9.2185965e-11
    59 :  6.3374855e-48  6.8163429e-48 -5.1506064e-48
    60 :  1.1258796e-30 -6.4578968e-30  6.1645375e-30
    61 :  3.6225211e-34 -3.4875396e-34  2.3357146e-34
    62 :  5.2462590e-11  7.4564789e-12  1.4262295e-11
    63 : -9.6025906e-07 -1.4094081e-06 -1.2483683e-06
    64 : -2.1719834e-07 -1.0723542e-07  3.4601534e-08
    65 : -3.4573792e-70  1.0080692e-69 -3.2889171e-70
    66 : -4.3692927e-30 -1.5057281e-30  2.9669797e-30
    67 : -1.1200725e-01 -1.1061625e-01 -1.7472114e-01
    68 :  2.8025690e-18  2.8748439e-19 -1.0038861e-18
    69 : -8.7375577e-14  3.6922457e-13 -6.0418776e-13
    70 :  7.0539114e-05  5.3820575e-05  8.8330161e-05
    71 : -5.1976371e-02 -5.9115049e-02 -5.5509676e-02
    72 :  4.5466489e-47 -3.3661708e-47 -7.4416290e-47
    73 : -9.6208804e-42 -1.0497792e-41 -1.5145128e-41
    74 :  4.9440352e-34 -2.0624239e-34  1.8443960e-34
    75 :  1.8194601e-13 -1.2995069e-14  2.8697063e-13
    76 : -7.5401918e-02 -6.8486693e-02 -7.8064713e-02
    77 :  1.6317726e-32  5.4366188e-33 -5.3552325e-33
    78 :  2.2443981e-27 -3.9200803e-28 -4.8692628e-27
    79 : -1.6608888e-19  1.7759349e-19  3.4099923e-19
    80 : -1.8495348e-86  1.0387376e-86  2.6568011e-86
    81 : -1.7909858e-20 -6.8173104e-21 -3.5041667e-21
    82 : -3.8952979e-35  3.9277048e-33 -9.9946079e-33
    83 :  7.6220724e-24 -2.9506505e-23 -8.8250244e-24
    84 : -1.3256724e-40  5.9448057e-40 -5.8491851e-41
    85 : -8.0434015e-04  2.9916646e-03  1.3940468e-03
    86 :  1.3788668e-08  3.6588762e-08 -2.5268075e-08
    87 :  6.2408920e-47  1.9063286e-46 -1.4937192e-46
    88 : -6.5090494e-48  4.5386408e-48 -6.1084082e-49
    89 : -1.4785674e-08  7.0662010e-08  2.3758612e-08
    90 : -9.1085374e-03 -1.2727565e-02 -6.7839411e-03
    91 : -8.3862277e-05 -1.5607824e-04 -3.3869149e-04
    92 : -2.4865283e-23  3.8039672e-24 -8.8425494e-23
    93 :  2.4746376e-25  2.0372290e-24 -1.8454842e-24
    94 :  4.0440370e-09 -1.7705305e-10  8.1656077e-09
    95 : -5.2728191e-16  8.1623563e-15 -4.5234990e-15
    96 :  1.2958225e-18 -4.0163255e-18 -1.0711217e-18
    97 : -1.9465798e-17  8.8330533e-19 -1.5372642e-17
    98 :  4.9139422e-22 -5.7292503e-22 -4.4544709e-23
    99 : -7.4910120e-48 -2.5029681e-47  1.5448960e-47
   100 :  4.5254039e-79 -6.6086204e-79 -5.4032912e-79
   101 : -4.8110277e-05 -1.7084150e-04 -5.5880042e-05
   102 : -3.4014905e-41 -1.7160256e-41  8.5056092e-41
   103 :  1.1408700e-37 -3.3536341e-37 -3.7402799e-37
   104 : -5.6275715e-05  4.8667306e-06 -3.0743093e-05
   105 :  1.2603473e-50  1.4176202e-50 -4.9777527e-50
   106 : 1.3586020e-103 -2.3066112e-103 4.0937910e-103
   107 :  1.7155954e-19  7.2899403e-19 -1.5821629e-19
   108 : -3.6140481e-106 -7.7903926e-107 5.7545984e-106
   109 : -8.0999361e-09 -7.6485599e-10 -2.6679296e-09
   110 :  1.8242941e-72 -2.2292758e-73 -6.3788792e-73
   111 : -8.2273488e-10  2.0503344e-09  1.7054150e-09
   112 : -6.1517413e-02 -6.2033216e-02 -5.2274076e-02
   113 : -3.6852347e-13 -1.3085538e-12  1.5846430e-13
   114 : 2.2249671e-101 -4.5718801e-101 8.1927935e-101
   115 :  5.7267717e-16 -2.9474968e-16 -9.6738852e-16
   116 :  9.2192644e-17 -2.3524583e-16 -1.1540837e-16
   117 : -8.4437488e-97  7.1031158e-97  1.2186945e-97
   118 : 6.2540360e-109 -1.2482453e-108 2.9048229e-109
   119 :  1.8594224e-41  1.3044543e-41 -5.2336203e-41
   120 : -1.7416301e-34  1.5598715e-34 -3.1810926e-34
   121 : 2.4775396e-104 -1.3042690e-104 7.2591026e-105
   122 :  1.8975165e-12  2.0322879e-12  1.3593916e-12
   123 : -4.8302635e-116 3.2952420e-115 -1.8837674e-115
   124 :  2.2379356e-97 -2.5759330e-98 -1.6723769e-97
   125 :  6.9899503e-04  8.6108347e-04  2.8745948e-04
   126 : -1.6174330e-10 -2.1257573e-10 -3.4404483e-10
   127 : -2.3601619e-32 -4.9087164e-32 -3.3212248e-31
   128 :  1.5476430e-06  1.8536726e-06  1.1558091e-06
   129 :  1.6772297e-18  1.9149102e-18 -1.4181348e-18
   130 : -3.6931853e-81  2.6385978e-81 -2.2665775e-81
   131 : 1.4293436e-127 -7.5163876e-128 1.6620165e-128
   132 :  1.2530267e-46  3.2284608e-47 -3.5482715e-47
   133 : -5.8792738e-02 -6.2593598e-02 -5.5713901e-02
   134 : -6.9593806e-46  2.4253917e-46  7.1505620e-47
   135 : -7.3826209e-04 -2.8432909e-04 -1.0049669e-03
   136 :  2.3840058e-03 -2.3346945e-02  1.4626813e-02
   137 : -1.0034302e-13 -6.1417348e-14 -2.1977576e-14
   138 :  4.5393498e-23  1.4343213e-23 -5.4723300e-23
   139 : -4.5810543e-81  2.3211082e-81  1.0392509e-81
   140 : -7.9400497e-25  2.6174120e-25  3.0517070e-25
   141 : -7.8059518e-10 -1.8277294e-10  1.2334300e-10
   142 : -1.7420707e-105 4.2110821e-105 -1.1849941e-105
   143 :  1.0851268e-11 -2.1245673e-11  3.9857879e-12
   144 : -1.1452286e-109 9.5456103e-109 -2.0199180e-108
   145 : -5.8760358e-14 -7.2106564e-14  5.0601774e-14
