Number of elements 23380
     0 : -2.1769586e-02 -1.6284512e-02 -2.3133978e-02
     1 : -4.9365761e-03 -6.1320560e-03 -5.4471475e-03
     2 : -4.9047238e-57 -7.7248415e-54  5.9456709e-54
     3 :  1.9547460e-28 -1.1244331e-28  6.6151480e-29
     4 : -7.7007583e-55 -8.0467657e-54 -1.3114462e-53
     5 :  4.0236407e-28 -2.0364983e-27 -6.9444456e-28
     6 : -2.1010295e-02 -1.9577609e-02 -2.1873483e-02
     7 :  7.0932336e-03  1.4720440e-02  2.5707723e-03
     8 :  1.4392018e-02  1.7508913e-02  1.8257932e-02
     9 : -2.2777059e-04  1.4538454e-04  5.2512697e-04
    10 :  1.5946856e-02  9.0186249e-03  9.9994011e-03
    11 : -9.8309736e-03 -6.9516727e-03 -7.9801085e-03
    12 : -2.1619157e-02 -2.1223908e-02 -1.3478737e-02
    13 : -1.0148900e-02 -6.9582362e-03 -6.3237390e-03
    14 :  2.4581459e-03  1.2160519e-03  8.1841220e-03
    15 : -8.5354495e-03 -4.4735496e-03 -5.4610781e-03
    16 :  2.7325614e-05 -2.9946575e-03  1.2999230e-03
    17 : -8.1023008e-03 -6.8292099e-03 -1.7561669e-03
    18 :  4.1646571e-14 -1.1851296e-13  4.2193197e-14
    19 : -1.9828158e-02 -2.3092928e-02 -1.6754798e-02
    20 :  1.5095364e-02  1.5199158e-02  1.5132755e-02
    21 : -1.9538217e-02 -2.2741864e-02 -1.9083779e-02
    22 :  2.8808317e-47 -2.8329568e-47  8.0441703e-47
    23 : -1.5373445e-02 -2.4374668e-02 -8.6339388e-03
    24 :  3.5737103e-35  1.7959602e-35  4.5372320e-35
    25 : -2.4043944e-02 -3.7167509e-02 -2.9971603e-02
    26 : -1.8022839e-02 -1.8701722e-02 -1.8348253e-02
    27 : -1.6416184e-02 -4.4998312e-03 -7.8575861e-03
    28 :  3.6665919e-02  6.0040729e-02  6.6780779e-02
    29 : -1.6853564e-02 -1.5616957e-02 -1.6939120e-02
    30 : -7.4696443e-04 -7.5247392e-03 -5.5377792e-03
    31 :  1.1894551e-30 -9.3790154e-30 -9.6680736e-30
    32 : -2.3238330e-03 -1.4509146e-02 -1.4194333e-02
    33 : -1.8416918e-02 -2.0865303e-02 -1.3740385e-02
    34 :  2.4255444e-02  2.1281420e-02  2.3331215e-02
    35 : -2.9692817e-02 -3.1409179e-02 -3.5033988e-02
    36 :  2.7096979e-02  3.2388438e-02  2.9470997e-02
    37 : -5.3356664e-03 -6.6068288e-03 -7.9133713e-03
    38 :  5.3755927e-03  1.0791579e-02  1.1303190e-02
    39 :  4.9852785e-03  2.8484106e-03  4.7734169e-03
    40 : -4.1683077e-44  6.4322581e-44  1.2876433e-43
    41 : -2.5047614e-02 -2.2186156e-02 -2.4322067e-02
    42 :  9.1472614e-06  2.8307253e-05  1.5034966e-05
    43 :  1.8870928e-02  1.5880998e-02  1.5634451e-02
    44 : -3.5573373e-02 -2.3589098e-02 -3.3096774e-02
    45 : -3.4696563e-02 -1.0516989e-02 -3.1936294e-02
    46 : -1.8896813e-02 -1.0057939e-02 -1.1026878e-02
    47 : -1.9989320e-04  1.5849074e-03  3.1909670e-03
    48 :  3.4196894e-03 -6.8450117e-04 -1.0083217e-02
    49 : -3.8043576e-02 -2.7567629e-02 -2.0223851e-02
    50 :  6.7421452e-03  1.4004925e-02  8.3397737e-03
    51 :  1.1173810e-02  1.3968527e-02 -1.4805739e-04
    52 :  1.6328333e-02 -1.8641846e-03 -4.1117969e-04
    53 : -9.0844035e-33  3.0533423e-34  1.1960912e-32
    54 : -1.8902560e-03  1.7818849e-02 -4.0991802e-03
    55 :  1.1298332e-02  1.3068726e-02  1.2819623e-02
    56 : -5.2605645e-03 -1.6085484e-03  2.9168540e-03
    57 : -3.0522533e-03 -6.1637145e-03 -7.1478175e-03
    58 :  6.1460555e-03  8.3209854e-03  4.2448095e-03
    59 :  2.0952564e-03  2.7878175e-03 -1.1999631e-03
    60 :  2.3532033e-02  1.4008990e-02  6.0147575e-03
    61 : -2.5904417e-03 -1.3782910e-04 -2.1480681e-03
    62 :  3.1320020e-03  1.2194421e-03  3.9003686e-03
    63 :  2.0913406e-02  2.8105407e-02  2.6432019e-02
    64 : -6.3707117e-03  2.0514218e-02  2.4307199e-02
    65 : -3.0447539e-27  1.1318085e-26 -3.9891648e-27
    66 :  4.1563189e-04 -1.6310739e-04 -2.4366278e-04
    67 :  1.5836342e-02 -3.0880671e-02 -3.0392774e-02
    68 :  6.2328352e-03  5.6813862e-03  5.4080180e-03
    69 : -1.6628187e-02 -1.6829363e-02 -7.4815858e-03
    70 :  1.7104936e-02  2.1475102e-02  2.7859208e-02
    71 : -9.6480486e-03 -6.4653189e-03 -1.5250809e-02
    72 :  3.3420534e-10 -9.6614893e-10 -1.4585068e-09
    73 : -7.1446085e-11  3.2732707e-09  4.7051076e-09
    74 : -1.2438368e-04  6.1088505e-05  5.9241738e-05
    75 : -3.4795283e-03  7.6309420e-04  1.1621376e-03
    76 : -4.4585074e-02 -2.9986702e-02 -4.4085159e-02
    77 : -2.2355887e-02 -2.2061229e-02 -2.3404804e-02
    78 : -1.2512528e-03  3.9925341e-02  4.2631441e-02
    79 : -1.5238057e-02 -1.6240243e-02 -1.2722259e-02
    80 :  1.4456943e-27 -1.3120610e-26  2.1408499e-26
    81 :  1.5449716e-02  1.5420385e-02  1.6779837e-02
    82 :  5.5299336e-04  1.6872925e-04 -1.1633606e-03
    83 : -6.0700232e-03 -5.5347732e-03 -7.0408415e-03
    84 :  5.5027584e-03  1.3706486e-02  4.5112813e-03
    85 : -1.9538843e-02 -2.4721575e-02 -2.4672444e-02
    86 :  1.3546511e-02  1.4816733e-02  1.4559737e-02
    87 : -2.6455138e-06 -5.8456459e-06  1.8855748e-06
    88 : -4.3193473e-13 -3.5716908e-13 -4.3840407e-13
    89 :  1.0837797e-02  1.0050268e-02  1.1726543e-02
    90 :  1.8922376e-02  2.0377577e-02  1.9716949e-02
    91 :  1.1204353e-02  1.1751987e-02  8.7544819e-03
    92 : -1.6548777e-02 -1.6722245e-02 -1.5855884e-02
    93 : -9.9219866e-05 -1.4789799e-02 -5.5220755e-03
    94 :  7.4155452e-04 -3.7553520e-03  4.6006716e-03
    95 :  2.8136384e-02  1.9788925e-02  2.4932649e-02
    96 :  5.1016281e-03  7.5929944e-03  9.2665273e-03
    97 : -1.0760190e-02 -6.6372299e-03 -1.0369809e-02
    98 :  8.1356116e-03 -1.5395781e-02  1.8323164e-02
    99 : -4.1779750e-04 -9.9176903e-04 -3.4551042e-04
   100 :  8.2695183e-22 -3.3814979e-21  1.7789666e-21
   101 : -8.4217552e-03 -1.5149082e-02 -7.4996274e-03
   102 : -9.3020381e-10  1.3317087e-11 -1.2407307e-09
   103 :  3.5872956e-02  3.7442827e-02  3.5950690e-02
   104 :  1.8148434e-02  1.6044877e-02  1.6416880e-02
   105 :  9.3527821e-16  6.7421057e-16  4.0186733e-14
   106 :  3.8001944e-43 -7.4474555e-43  1.0066643e-42
   107 : -2.8579662e-04  1.6675513e-03  1.7533506e-03
   108 :  2.6819764e-51 -6.3843655e-52 -1.1234606e-51
   109 :  1.1286485e-02  8.6347577e-03  1.1606023e-02
   110 : -1.1438568e-23  1.8614839e-23 -4.2090845e-24
   111 :  1.1586372e-02  1.5611442e-02  1.5930779e-02
   112 : -4.0932385e-04 -2.7298852e-02 -1.8477088e-02
   113 : -1.9598676e-02 -2.0043247e-02 -5.4072898e-04
   114 :  1.6463942e-42  2.4398942e-42 -4.4961612e-42
   115 :  2.7908807e-03 -7.9700456e-03 -2.2771670e-02
   116 :  2.9396282e-03  4.9439542e-03  2.5260881e-03
   117 : -2.1855527e-40 -2.0036275e-39  7.3769351e-40
   118 :  5.9812691e-46 -8.8957639e-46  5.1866162e-47
   119 :  1.0546235e-08  1.0419031e-09 -2.5644832e-08
   120 : -1.4000822e-02 -1.5645343e-02 -2.0629550e-02
   121 :  2.5533742e-44  9.8806581e-44 -1.6464293e-43
   122 : -2.8209166e-02 -1.7369481e-02 -2.2284776e-02
   123 : -1.2429337e-49  2.9786921e-49 -2.2579390e-49
   124 : -1.0717121e-39 -2.0224491e-40 -1.7468220e-40
   125 :  4.6264287e-03  3.4841138e-03  8.1078355e-03
   126 :  2.7017360e-03  3.5848079e-03  2.8548985e-03
   127 :  1.6854531e-02  1.4369824e-02  1.7212791e-02
   128 :  1.8424877e-02  1.6782743e-02  2.1248660e-02
   129 :  5.7196206e-03 -3.3878190e-03  3.0618291e-03
   130 :  1.5827046e-28 -1.1776665e-28  1.4331977e-29
   131 : -7.0696294e-56  3.7473565e-56  1.4372798e-55
   132 :  1.1705675e-11  1.0787815e-11 -1.6107551e-11
   133 : -5.9069607e-03 -1.8921979e-02 -1.5097003e-02
   134 : -6.7785030e-12 -3.1765251e-12 -1.3703201e-11
   135 : -5.9938694e-03 -5.7253356e-03 -1.5100624e-02
   136 : -7.8189283e-03 -6.7592216e-03  4.0089303e-03
   137 : -4.3004172e-03 -5.7523481e-03 -4.4605153e-03
   138 :  2.5142216e-02  2.4217281e-02  2.3540374e-02
   139 :  8.7036906e-31  2.3970487e-31 -3.6639304e-31
   140 : -4.2595423e-03 -9.4930753e-03 -8.4480665e-03
   141 : -4.8189046e-03 -8.8798622e-03 -7.1202807e-03
   142 :  2.3958504e-51 -5.3055510e-51  1.2155168e-51
   143 : -8.3941736e-03 -1.0211257e-02 -2.7680380e-03
   144 : -9.0900028e-45 -2.5404616e-45  7.0102886e-45
   145 :  3.5540618e-03 -1.4050304e-03  6.0548599e-03
   146 : -4.7795672e-03  4.7956252e-03  1.5068837e-02
   147 :  9.8640211e-54  3.1746359e-53 -5.3566169e-53
   148 :  3.0190980e-17  1.6871703e-16 -9.9079800e-17
   149 :  2.4160156e-21 -4.0740631e-21  1.7206711e-21
   150 : -2.8228190e-03  7.3065686e-03 -9.9214128e-03
