Number of elements 23380
     0 :  1.2426070e-02 -1.6886850e-02  1.1286020e-02
     1 : -1.8188260e-02 -1.3230000e-02 -1.2521770e-02
     2 :  4.8818340e-56  1.6663630e-55 -4.3659810e-56
     3 :  1.3307820e-29  2.5152090e-29 -3.3612270e-30
     4 :  7.8141390e-56  7.6484460e-56  1.6332450e-55
     5 :  1.2394340e-29  1.1905430e-28  5.4190450e-29
     6 : -1.4634760e-02 -1.8612680e-02 -7.6968410e-03
     7 :  6.8839600e-02  8.0830890e-02  7.3952210e-02
     8 :  9.7608110e-02  3.4334700e-02  1.0044170e-01
     9 :  8.0482990e-06 -1.1660340e-04 -1.5135290e-04
    10 :  1.9109820e-03  5.4174060e-03  8.9891800e-03
    11 : -2.0652610e-02 -1.6700790e-02 -1.4027270e-02
    12 : -1.3642820e-02 -7.8406220e-03 -2.0989830e-03
    13 : -9.3519900e-03 -1.3010630e-02 -1.7036570e-02
    14 :  1.7108850e-02  1.7351510e-02  1.8886660e-02
    15 :  8.4936300e-05 -4.5922490e-03 -2.0759460e-03
    16 : -8.2534730e-04 -2.0564980e-04 -3.8068750e-03
    17 :  5.1298140e-04 -1.2121720e-03  1.6240560e-03
    18 :  4.3299630e-16  2.1377740e-14  4.4696010e-16
    19 :  4.2679730e-03  1.2236870e-02 -1.4588560e-02
    20 :  4.5243230e-03  1.8222800e-05  4.4846910e-03
    21 : -9.7580120e-03 -7.2166610e-03 -1.8238670e-02
    22 : -1.1963610e-48 -1.3980540e-49  6.8635760e-49
    23 : -6.4753510e-03  2.1448120e-03 -1.3037190e-02
    24 :  3.6022880e-36 -3.8515710e-36  5.7956910e-36
    25 :  2.0013200e-02  1.3094230e-02  4.4935950e-03
    26 : -1.1937160e-02 -1.8936750e-02 -1.6838850e-02
    27 : -1.9814300e-02 -7.5485820e-03  8.5007280e-03
    28 :  1.7105540e-03  5.2611210e-03  1.1763220e-02
    29 : -1.0068070e-02 -1.6024170e-02 -5.4660530e-03
    30 : -1.2520460e-02 -1.8550720e-02 -1.6058760e-02
    31 :  3.5010090e-31 -4.2111010e-31  9.6970830e-32
    32 :  5.8088360e-02 -1.2055080e-02 -2.5756840e-04
    33 : -5.5011170e-02 -5.4134570e-02 -4.7452250e-02
    34 :  3.0609920e-02  2.8501320e-02  2.9158550e-02
    35 : -2.5654650e-02 -2.8367620e-02 -2.5541420e-02
    36 :  3.4416550e-02  3.4798820e-02  3.3161740e-02
    37 : -7.5199370e-03  7.1632410e-04 -9.3141340e-03
    38 : -3.3605090e-03 -1.6175660e-03 -2.0362100e-04
    39 :  1.9166640e-02  1.8836000e-02  1.9073880e-02
    40 : -1.8318580e-46 -1.0756060e-45 -6.4813580e-46
    41 : -2.4802870e-02 -2.5394100e-02 -2.1352970e-02
    42 : -4.3820480e-06  6.2816930e-07  5.5978200e-06
    43 : -1.3602740e-02 -1.8474260e-02 -2.0101820e-02
    44 : -1.6092470e-02 -4.9555130e-03  1.3871300e-02
    45 : -2.6749190e-02 -1.7701190e-02 -1.6263760e-02
    46 :  9.2575430e-03  3.9777430e-03  5.7844640e-03
    47 :  1.6401190e-02  1.3772040e-02  1.8747940e-02
    48 : -1.0427940e-02 -3.6792670e-03  1.6126840e-03
    49 :  7.6332040e-02  8.1811020e-02  7.2424470e-02
    50 : -6.7893030e-03 -7.3993740e-03 -5.9405760e-03
    51 :  3.1421640e-02  5.2333690e-02  1.7625180e-02
    52 :  5.1057360e-02  5.1928800e-02  4.9522800e-02
    53 :  9.2976350e-35 -6.6859490e-34  9.0058690e-34
    54 : -2.6200150e-03 -7.2769540e-03 -3.1382980e-03
    55 :  2.1094560e-02  2.1922530e-02  2.1650480e-02
    56 : -2.6420140e-03  1.1350420e-03 -2.4536180e-03
    57 : -9.6449440e-04 -6.6755650e-04  2.9876950e-03
    58 : -2.6031000e-03  2.2729940e-03 -2.3579280e-03
    59 : -7.9613170e-04 -7.7603530e-04  7.6013860e-06
    60 :  1.7362700e-02  1.8917610e-02  1.5920830e-02
    61 : -5.4487880e-05  6.5042900e-04  1.6489640e-04
    62 :  4.8535290e-04 -1.0981630e-03 -1.9576980e-03
    63 : -1.5729620e-02 -8.9269390e-03  5.0546870e-03
    64 : -2.7418730e-02 -3.1336040e-02 -3.2392000e-02
    65 : -1.1742680e-28  2.1611480e-28 -5.1832730e-29
    66 : -1.7085270e-04 -7.6948720e-05  1.6382390e-05
    67 : -1.1276250e-01 -6.4311370e-02 -1.2471680e-01
    68 :  3.4164630e-03 -8.7485970e-03 -9.2502010e-03
    69 : -4.0068570e-03 -5.2880080e-03 -1.0855270e-02
    70 :  3.2968510e-02  3.1276000e-02  2.7539420e-02
    71 :  8.0926100e-02  7.3655550e-02  8.2440590e-02
    72 :  3.1595080e-11  1.7306340e-10  9.7087950e-11
    73 : -2.5630630e-10 -7.2995290e-10 -2.6446010e-10
    74 :  3.8653260e-05 -9.7821690e-06  1.3767700e-06
    75 : -1.6586480e-03 -5.1256570e-03 -3.7901560e-03
    76 :  1.0500160e-01  9.1758450e-02  9.0518250e-02
    77 :  1.0160030e-02  2.3362670e-02  2.7961310e-02
    78 : -6.6514910e-03  4.6822510e-03  6.2867020e-03
    79 : -2.5106840e-03 -2.7786000e-03 -4.3424280e-03
    80 :  1.7362740e-27  8.3945540e-28 -2.7810120e-27
    81 :  2.2644500e-02  2.2336980e-02  2.2255940e-02
    82 :  1.2369660e-06  3.0916210e-05 -2.1820910e-06
    83 : -1.0389770e-02 -1.6770940e-02 -1.2678660e-02
    84 : -2.2150190e-03  2.8345830e-04 -1.3346200e-03
    85 :  1.7151710e-02 -6.6820530e-03  4.2793600e-04
    86 :  5.2340570e-03  6.4725230e-03  3.5333360e-03
    87 : -8.6119000e-08  1.2631500e-07  8.0916360e-08
    88 : -5.0606850e-14  7.0414430e-14 -3.4193720e-14
    89 :  7.5629760e-03  5.8034760e-03  8.0416820e-03
    90 :  9.6710530e-03  1.0720990e-02  8.6105160e-03
    91 :  2.5038710e-02  2.6023400e-02  2.2484010e-02
    92 : -2.1699120e-02 -1.0403880e-02 -1.1946320e-02
    93 :  9.7312690e-02  3.0254870e-02  7.3540630e-02
    94 : -1.0140440e-02 -1.1096670e-02 -1.2615380e-02
    95 :  1.8201960e-03  9.7903810e-03  8.4406400e-03
    96 : -9.1819660e-03  1.7632010e-02  2.6545620e-03
    97 : -1.6628760e-03 -1.2885800e-03 -2.0750900e-03
    98 :  2.6508950e-02  5.7667340e-03  3.4322840e-02
    99 : -9.7765130e-04 -7.1413100e-04  6.8545840e-04
   100 : -3.0656800e-23  1.1403260e-22 -5.7022570e-23
   101 :  6.7443700e-03 -1.5143200e-03  6.2507970e-03
   102 :  7.9756500e-11  9.5312920e-11 -1.6817620e-10
   103 :  5.0055890e-02  4.9859600e-02  5.4839270e-02
   104 :  1.6872350e-02  1.1900040e-02  1.3778930e-02
   105 :  4.1936860e-15 -1.8807870e-15 -3.7705240e-16
   106 : -4.2806020e-44  1.7017960e-44 -1.5679620e-44
   107 : -1.8563100e-05  1.4664620e-03 -3.7000620e-04
   108 : -1.2644900e-53 -3.1417210e-53  8.0550890e-53
   109 : -1.5320200e-03 -3.7051780e-03 -3.0950160e-03
   110 :  1.7551440e-25 -1.0610080e-24  1.0038410e-25
   111 : -2.4718950e-02 -2.0271440e-02 -1.8503690e-02
   112 :  4.6071690e-04  6.1579860e-03  1.3892830e-02
   113 : -2.4885640e-02 -1.1345320e-02 -6.6856880e-04
   114 : -4.3838120e-44 -7.4137880e-45  6.3122660e-44
   115 :  2.3378910e-02  2.6859050e-02  2.2053140e-02
   116 : -8.5697130e-03 -9.9546370e-04 -1.5087940e-03
   117 :  1.9917230e-41  4.6556730e-41 -1.4982910e-41
   118 : -5.5220630e-48  1.5028290e-47 -1.9306530e-48
   119 :  2.6208800e-10  6.2933230e-10 -1.5821990e-10
   120 :  5.0254590e-02  6.1632530e-02  3.8171260e-02
   121 :  1.9817430e-45 -2.6084610e-45  6.1516900e-45
   122 : -4.4245530e-02 -4.5423250e-02 -4.2438050e-02
   123 :  4.5989730e-51 -1.1208900e-50  3.7970920e-51
   124 : -1.0254750e-41  2.0631960e-41 -6.0881780e-41
   125 :  2.9622690e-02  2.6586700e-02  3.0624090e-02
   126 : -3.2289950e-04  6.0929700e-04 -2.1524870e-04
   127 :  1.9017900e-02  1.8255990e-02  2.1553560e-02
   128 :  9.2222370e-03  2.3427900e-02  1.6251200e-02
   129 :  9.5620360e-03  8.6927490e-03  7.9042390e-03
   130 : -9.6555440e-30  5.5543330e-30 -7.0856540e-30
   131 :  5.4666920e-57 -3.3814560e-57  2.8138660e-57
   132 :  2.0899160e-13 -9.0768220e-13  1.5859930e-12
   133 :  7.3545060e-02  8.1482770e-02  8.3031810e-02
   134 : -2.5444250e-12  1.4367390e-12 -3.6004570e-13
   135 :  1.9331750e-02  2.4622690e-02  1.0563670e-02
   136 :  1.4412970e-02  2.1010540e-02  1.1477700e-02
   137 :  2.6891060e-03  1.6722710e-03  1.0087290e-03
   138 :  1.6228970e-02  1.7609590e-02  1.9026370e-02
   139 : -2.1871020e-32 -1.9475540e-32  9.8827690e-33
   140 : -3.1545490e-03 -4.3314650e-03 -4.4132630e-05
   141 : -1.8742110e-02 -1.1157310e-02 -1.5300970e-02
   142 :  3.0631230e-53  3.0669770e-53 -2.0454150e-53
   143 : -4.2821720e-02 -4.4263560e-02 -4.0391420e-02
   144 : -9.1122900e-48  1.4757570e-46 -3.6548770e-46
   145 : -1.6273860e-02 -2.4047370e-02 -1.9125350e-02
   146 : -3.1166370e-03 -3.2924130e-03  4.1408420e-03
   147 : -1.4390820e-55 -4.8077530e-56  3.2774090e-55
   148 : -6.8093020e-18 -1.1115220e-17  5.8946670e-18
   149 : -6.4340800e-25  2.9152170e-22 -1.0969940e-22
   150 : -4.3958300e-03 -9.5386730e-03  1.7365970e-03
   151 :  2.8245380e-02  5.8416420e-02  5.6315330e-02
   152 :  1.5952510e-03  2.5067520e-03  3.5109530e-03
   153 : -1.1550570e-16  3.8884970e-17 -1.4997910e-16
   154 : -5.1958960e-13  2.6762920e-13  1.0292480e-12
   155 :  2.3936390e-03 -6.1052630e-04  5.2089770e-04
   156 : -7.1059300e-03 -4.1313740e-03 -7.5967460e-03
   157 :  1.3168470e-03  5.2911130e-03  1.1857460e-02
   158 :  1.7622280e-03 -2.1267670e-02 -1.0342800e-01
   159 : -2.3644820e-28 -6.8192510e-28  3.4811420e-28
   160 : -2.5001490e-02 -1.9114250e-02 -1.4185750e-02
   161 :  1.6077550e-02  1.6432370e-02  1.6319590e-02
   162 :  9.4034570e-03  2.1926550e-03  8.9710410e-03
   163 :  2.1092110e-38  1.6157880e-38 -9.4329890e-38
   164 : -2.0848680e-02 -2.4113490e-02  7.2584830e-03
   165 :  1.3295570e-11 -3.1561150e-10  2.5721020e-10
   166 : -2.5682950e-03 -1.6014110e-03  2.0092670e-04
   167 :  8.8005010e-04  8.7420130e-03  1.1915660e-03
   168 : -7.0354450e-03 -1.1904810e-02 -7.6035320e-03
   169 : -4.0082470e-45  4.4491870e-45  9.1295260e-45
   170 : -3.6261790e-04  5.6272340e-04  2.3906430e-03
   171 :  2.3593030e-02  2.2992500e-02  2.4914630e-02
