Number of elements 23380
     0 :  4.8683120e-04 -3.1430280e-04  3.6679510e-04
     1 :  5.4474460e-02  6.4550080e-02  3.7216410e-02
     2 : -1.4580660e-65 -2.8315260e-65  1.4371610e-66
     3 : -2.2440320e-36  3.7982750e-36 -2.2405900e-36
     4 : -2.9224220e-65  2.8188380e-65  1.5922840e-66
     5 : -3.6487200e-36  8.0692210e-36  6.5136550e-36
     6 :  3.4052010e-02 -9.5325370e-03  4.5051120e-02
     7 :  2.3730180e-05 -2.3867540e-05  5.4850490e-06
     8 :  9.1099530e-05  1.3110720e-04  1.9804350e-04
     9 :  2.7443480e-08 -5.5235210e-08 -1.0066270e-07
    10 :  1.9087620e-02  1.4254990e-02  2.3480640e-02
    11 :  1.4325760e-03  7.3246120e-03  8.0763880e-04
    12 :  3.6709520e-02  4.8270130e-02  9.1369280e-02
    13 :  9.0174420e-02  8.7417100e-02  9.7526960e-02
    14 : -9.9552970e-03 -1.0117490e-02 -6.2189530e-03
    15 : -7.5578730e-07 -4.4458570e-06 -4.8447050e-06
    16 :  3.5448330e-03  8.7905120e-04  2.7997110e-03
    17 : -3.4589110e-07 -3.5711550e-06  1.2698190e-06
    18 :  2.9643160e-20  5.4542170e-20  2.4733500e-20
    19 : -1.4697770e-04  3.5314970e-04 -3.4703920e-04
    20 : -5.3384970e-03 -6.4676380e-03 -5.6437180e-03
    21 :  3.1470230e-03  4.4344400e-02 -9.5496050e-03
    22 :  1.5676540e-57  2.6268110e-57 -8.0261960e-57
    23 : -2.0591890e-02 -1.7604760e-02 -1.3463660e-02
    24 : -7.7045270e-44  2.7783860e-44 -1.1064270e-43
    25 : -1.9410580e-02 -1.7976400e-02 -1.9278990e-02
    26 : -2.7628770e-03 -3.6443040e-03 -4.5493570e-03
    27 :  8.2910040e-03 -1.5953860e-02 -2.0506650e-02
    28 : -2.6076390e-02 -2.4502690e-02 -3.4149360e-02
    29 :  4.8058310e-02  4.3973210e-02  3.4473630e-02
    30 :  4.2089910e-02  3.6268850e-02  3.9546390e-02
    31 : -1.1457680e-38  3.8294820e-38  3.2307790e-38
    32 :  1.5541970e-03 -4.2619960e-03 -1.7541450e-03
    33 : -2.5532220e-02 -2.2828190e-02 -1.6970880e-02
    34 : -2.0056680e-03 -2.2137070e-03 -1.5024860e-03
    35 :  8.4745780e-03  3.8253440e-03  1.1581730e-03
