Number of elements 23380
     0 :  4.5633030e-24 -8.6021610e-24  2.6144960e-24
     1 :  1.6134750e-19  2.1401460e-18 -3.7978760e-19
     2 : -4.4642490e-103 -6.1125120e-104 9.5709680e-103
     3 : -2.3978210e-64  1.4881000e-62  5.2536700e-63
     4 : -1.2529790e-102 4.7854560e-102 -9.0382390e-103
     5 : -1.8973540e-64 -3.6435320e-63  6.0144830e-63
     6 :  2.2145660e-13  1.6213690e-12 -5.8283470e-14
     7 :  1.2040440e-26 -1.3678230e-26 -3.6016940e-26
     8 :  2.2214060e-24 -4.5102270e-24 -4.1507380e-25
     9 : -1.1872300e-23  4.3430090e-24  2.6226620e-23
    10 :  8.6842200e-03  2.9847270e-02  4.6399630e-02
    11 : -5.8913160e-21  1.8025810e-21 -4.5429390e-21
    12 : -4.8489430e-14 -1.8849030e-13 -1.1434080e-13
    13 :  6.4260080e-17 -2.9514300e-18 -3.2803020e-17
    14 : -5.0324310e-08 -5.3963570e-08  6.2228110e-10
    15 : -4.8968140e-21  1.3394840e-20  2.4074700e-20
    16 : -3.9283740e-09 -3.3904780e-09  1.6873220e-09
    17 : -2.4448160e-21  1.1554780e-20 -3.8414960e-21
    18 : -3.1942640e-42  8.2628370e-41 -1.5840430e-41
    19 :  8.4547250e-25 -6.1389890e-25 -3.5521850e-24
    20 :  1.4389300e-04 -3.7915590e-05  1.3665570e-04
    21 : -1.7376010e-13  5.4454830e-13  1.5050690e-12
    22 : -7.3286640e-92 -8.5665450e-92  2.7693660e-91
    23 : -7.5659420e-06  1.9033320e-05 -1.0837160e-04
    24 : -2.7845050e-73  2.2993540e-73 -4.5977160e-73
    25 :  5.5914730e-06  2.9905480e-05  3.3200550e-05
    26 : -6.1712640e-10  4.2473500e-09  9.3208400e-10
    27 :  1.7626650e-07  1.3546390e-07 -4.7435600e-07
    28 : -1.0724040e-01 -9.1921190e-02 -1.0813350e-01
    29 : -3.8055490e-17 -1.4686690e-18  1.0255060e-17
    30 : -1.0832810e-04 -2.1470600e-04 -2.3441430e-04
    31 : -3.3077010e-66  6.4480430e-66  1.4877210e-67
    32 : -4.0918460e-15  7.8261210e-15  2.0518730e-15
    33 : -4.1381490e-05 -1.4642460e-05 -5.2408620e-05
    34 :  1.3944550e-23  9.4945720e-24  2.4761500e-24
    35 : -5.0112060e-07 -3.1458410e-06 -5.1184190e-06
    36 : -1.2703600e-22  3.5172760e-23 -3.8822850e-23
    37 : -3.2224330e-16  2.2469690e-17 -2.5157640e-16
    38 :  5.1939730e-06 -2.9142370e-05 -2.1111360e-05
    39 :  6.8732350e-11  2.6104230e-10 -5.1492250e-11
    40 : -3.8723600e-88  1.8587480e-88  9.4088570e-88
    41 : -2.9786020e-02 -2.3999540e-02 -2.4752400e-02
    42 :  4.1441560e-28 -3.3108080e-27  1.4210340e-27
    43 :  4.2947300e-04  6.5486870e-05  1.5413770e-04
    44 :  1.7082410e-04 -1.0589380e-03 -6.6219780e-03
    45 : -2.9733130e-02 -3.0207470e-02 -2.9195390e-02
    46 :  2.0512930e-19 -7.0051500e-20 -4.2517230e-19
    47 :  9.3818370e-23  3.0099950e-22 -1.0031730e-22
    48 :  1.4380410e-12 -1.1875680e-12 -1.4954790e-13
    49 : -1.8031700e-02 -1.4553730e-02 -1.9310070e-02
    50 : -9.5480780e-08 -1.3479470e-07 -8.7686420e-08
    51 : -9.9988330e-23  8.7113130e-23 -1.5465120e-22
    52 : -1.7989970e-02 -6.7091700e-02 -5.2716900e-02
    53 :  6.2535770e-69 -1.2839700e-67  1.5404760e-67
    54 : -6.5426400e-28 -1.6864540e-29  2.8422080e-28
    55 : -3.5351270e-11  2.9738910e-12 -2.8466820e-11
    56 : -4.4337950e-31  4.8065760e-30 -9.4247090e-30
    57 :  8.4210590e-10  3.8837400e-10 -3.8596360e-09
    58 : -1.8764770e-04 -2.5329560e-04 -5.0100620e-05
    59 :  1.7431400e-35  1.7831320e-35 -1.5857420e-35
    60 : -3.7335060e-23  5.2249490e-23 -1.4683470e-23
    61 : -5.0724040e-26  3.9434110e-26 -1.9832510e-26
    62 : -1.2756510e-07 -9.1564050e-07  3.2491710e-06
    63 :  9.6393410e-05 -1.6598780e-03 -5.5889080e-03
    64 : -2.5720370e-04 -3.9555560e-05  6.8729850e-05
    65 : -9.9934290e-61  2.5466990e-60 -6.6547390e-61
    66 :  2.2133250e-23  2.1590460e-23 -1.3905390e-23
    67 :  1.5221440e-02 -6.3354570e-03 -2.4274260e-03
    68 : -8.2417040e-14 -1.9232730e-13 -4.3937820e-14
    69 : -4.6491050e-11 -1.3010870e-08  3.7936280e-08
    70 : -5.9776660e-03 -5.3654390e-03 -1.8057650e-02
    71 : -6.4806510e-04 -1.0844860e-02 -5.4601490e-03
    72 : -7.6552640e-38 -9.9389740e-39  7.3486200e-38
    73 :  4.3214750e-33 -6.0188630e-33 -1.7335890e-32
    74 : -2.2596280e-26  2.1378310e-28  2.8219480e-26
    75 : -1.0036080e-10  2.1177440e-08  5.5715180e-09
