Number of elements 23380
     0 : -9.7538800e-38  4.9522890e-37 -6.5986920e-38
     1 : -2.2771480e-31  1.5524460e-31  7.1128510e-32
     2 : 2.0496400e-136 -1.8299490e-134 1.5089330e-134
     3 :  8.7975050e-82 -2.6727000e-81 -1.1118580e-81
     4 : 3.1966710e-134 1.7385160e-134 -1.2845270e-133
     5 : -3.7461430e-82  8.0185300e-82  4.5132620e-82
     6 :  1.2908160e-22 -7.7806420e-22 -8.3567040e-22
     7 :  8.0188070e-40 -3.0307640e-40 -1.7237400e-40
     8 :  3.7964430e-40 -8.5709070e-40 -1.0232370e-40
     9 :  5.4931710e-35  5.3221640e-35 -1.4357840e-34
    10 :  2.3363580e-09 -4.6519920e-09 -8.7172150e-09
    11 : -1.0740070e-34  4.6014290e-34  5.7269810e-35
    12 : -3.5597620e-23 -8.0217230e-23  1.0474520e-22
    13 : -8.8689750e-28  2.3352820e-28  1.1206440e-28
    14 : -1.3786950e-15 -7.0758580e-16  4.6110650e-16
    15 :  1.1135140e-30 -1.1124200e-30 -1.8407410e-30
    16 : -1.0291830e-17 -4.2024050e-17 -1.2305180e-16
    17 :  1.9799220e-31 -3.8040790e-31  9.3954770e-32
    18 :  4.4431000e-58 -7.7697200e-56  2.8014400e-56
    19 :  3.0745070e-37  9.1650730e-38  3.1724850e-37
    20 : -1.8376030e-10  3.7926340e-11 -1.7498900e-10
    21 :  6.4282520e-21 -2.5628880e-21 -1.2355150e-21
    22 : -5.0821780e-119 -4.1606750e-119 1.4025850e-118
    23 :  1.7222530e-10  3.2393600e-10 -3.4998000e-10
    24 :  1.4327770e-97 -1.7855970e-97  2.2288180e-97
    25 : -7.7495950e-11  1.4768260e-11  1.3833320e-10
    26 :  5.6912630e-22 -6.0103910e-22 -4.6182320e-23
    27 :  3.1419710e-16 -3.9770770e-15  3.0251730e-15
    28 : -7.2063280e-02 -5.0923070e-02 -7.3675580e-02
    29 :  7.5123430e-28 -1.4519380e-28 -3.4370550e-28
    30 : -1.1222740e-11  1.3192180e-12 -1.9483900e-12
    31 :  1.8209310e-87 -5.1795840e-88 -4.5307900e-87
    32 :  8.2554470e-24 -1.0391330e-23  1.0219070e-24
    33 :  1.2214840e-13 -5.0214340e-14  7.7162730e-14
    34 :  2.2576220e-39  1.7094220e-40  4.5285000e-40
    35 :  1.6895700e-14  7.1537710e-15  5.0591490e-16
    36 : -1.1206390e-38  3.5210990e-39 -2.4752780e-38
    37 :  8.9524850e-30 -9.2959500e-30  2.1116460e-29
    38 : -9.3533960e-13  5.7816780e-13 -2.4686350e-13
    39 :  5.2843460e-25  6.3412090e-24 -2.7647820e-24
    40 : -8.4029190e-116 -1.3746030e-115 3.3449960e-115
    41 :  1.1313660e-01  9.5545500e-02  9.6453810e-02
    42 :  1.0022510e-39 -4.8403300e-39  2.0805190e-39
    43 : -4.5748930e-13  6.1494690e-14 -8.1326450e-14
    44 : -1.3112320e-06 -3.1994470e-06  6.7593520e-07
    45 :  1.7053170e-01  1.4209730e-01  1.5074440e-01
    46 :  3.8331590e-36 -2.2982790e-35  1.7556960e-35
    47 :  9.6574810e-40  1.5590390e-39 -4.7804840e-40
    48 :  2.0892310e-20 -5.3205780e-21  7.1374650e-21
    49 : -9.5106700e-02 -7.3270550e-02 -7.3516220e-02
    50 :  3.3567410e-17  1.9248380e-14 -4.8435640e-15
    51 : -2.8025780e-38  7.5366400e-39 -2.4775990e-38
    52 : -2.8513570e-02 -2.2426330e-02 -2.8882450e-02
    53 :  3.1750130e-84 -3.8556690e-84  1.8506450e-84
    54 :  2.8914600e-41 -1.8579780e-41 -5.1564640e-42
    55 : -4.1318130e-26  2.8027630e-25 -7.2107370e-26
    56 : -1.8941520e-48 -2.3899770e-48  7.5335680e-48
    57 : -8.7167070e-17 -4.7895080e-17  6.8147030e-18
    58 : -7.0490930e-14 -1.5879600e-13  8.2670280e-14
    59 : -5.1243020e-55 -5.5964180e-55  4.3396570e-55
    60 : -1.0381060e-34  2.5884810e-34 -4.7781980e-35
    61 : -2.0014190e-38  8.8840240e-39 -6.3128030e-39
    62 : -2.0461550e-14 -7.8720520e-15  3.9766340e-14
    63 : -1.4214840e-08 -2.2330980e-08 -1.0071490e-08
    64 : -1.5830470e-09 -1.5160790e-09 -3.0838450e-10
    65 : -2.4419000e-75  6.0926250e-75 -1.8130460e-75
    66 : -4.7416400e-34 -3.2184400e-34  3.5521960e-34
    67 : -3.9253620e-02  5.7933600e-02 -1.8970920e-02
    68 :  2.4539050e-21 -4.0275700e-22 -9.5952130e-22
    69 : -4.8863010e-16  2.9687960e-16  4.5351190e-16
    70 : -2.1821410e-06 -2.2039560e-06  1.9255690e-06
    71 : -5.8292160e-02 -5.3004580e-02 -6.0697630e-02
    72 :  1.8341260e-52 -2.1736040e-52 -2.1159080e-52
    73 : -7.0931550e-46  1.7843990e-46  1.3400220e-45
    74 :  8.9745250e-38 -2.3489150e-38 -1.7480610e-38
    75 : -1.7526930e-16  1.1482290e-15 -8.5847170e-17
    76 : -1.0363470e-01 -7.2232950e-02 -9.3456380e-02
    77 : -6.1350060e-38 -3.7196200e-38 -5.4639540e-39
    78 :  8.4412700e-32  1.3071810e-31 -2.6363940e-31
    79 : -4.5248110e-24 -1.5268590e-23 -8.9363930e-25
    80 : -1.7566850e-92 -3.7738730e-93  2.3468170e-92
    81 : -2.3089540e-26 -2.9794550e-27 -3.3649610e-28
    82 :  2.3012510e-38  2.0490440e-37 -4.1889530e-37
    83 : -3.7036950e-27  2.9394340e-27  8.9911150e-28
    84 :  1.8623030e-46 -7.2012640e-46  2.6628720e-46
    85 :  2.1079810e-05 -2.0349980e-05  6.3225750e-05
    86 : -7.0886100e-11 -7.3068680e-11 -2.8975500e-12
    87 :  3.1299510e-53  1.0265500e-52 -5.2661870e-53
    88 :  2.6952550e-54  7.6954070e-53 -2.3284660e-52
    89 : -2.5956010e-11 -8.9676790e-12 -2.9642700e-11
    90 : -1.8887750e-04 -2.5694740e-04 -2.4205440e-05
    91 : -9.0654670e-08  3.3705730e-09  2.1522050e-07
    92 :  8.8262190e-28  3.9008850e-27 -3.2443490e-27
    93 :  2.1891500e-28  8.5285740e-28 -7.1031030e-28
    94 : -5.3303430e-12 -1.3102960e-11  3.8088880e-11
    95 : -2.8919090e-18 -5.9331980e-18  1.0757420e-18
    96 :  1.6984030e-21 -4.4767360e-21 -1.0456250e-21
    97 :  4.4233080e-23 -2.1464220e-23  3.2912930e-24
    98 :  1.0320400e-27 -2.6736210e-27  6.3368320e-28
    99 :  2.2996930e-55  1.4662630e-54 -8.0425520e-55
   100 : -3.9733390e-86  4.7203450e-86 -6.1761070e-87
   101 : -8.6020410e-07 -1.1831850e-06 -1.2715800e-06
   102 : -7.2622630e-46 -3.0615820e-46  1.8407930e-45
   103 : -8.1676420e-44  8.1551570e-44  1.2390020e-43
   104 :  8.1411720e-08  4.1969070e-08  1.1512880e-07
   105 : -5.8153960e-56  1.1564060e-55 -3.6769400e-55
   106 : 2.0601430e-111 -1.2416740e-111 8.0850660e-112
   107 : -3.3673870e-23 -1.0946130e-22  1.4524840e-23
   108 : 4.4070280e-113 9.8563490e-114 -7.1065320e-113
   109 :  1.5974710e-12  3.2115410e-12  3.0410490e-12
   110 : -3.9983640e-79  4.5798600e-80  1.3740720e-79
   111 :  5.2228000e-14 -5.5896730e-15  5.5157930e-14
   112 :  3.5461050e-05  1.2357990e-02 -1.6537140e-02
   113 :  3.9342740e-16  1.4743740e-15 -3.1759340e-15
   114 : 4.1860440e-110 -6.9045630e-110 1.0834980e-109
   115 : -6.7649630e-20  1.3815010e-20  4.1617750e-20
   116 :  1.3373440e-20  8.1706470e-20 -8.8607690e-20
   117 : -5.0877090e-105 3.1485570e-105 1.1126490e-105
   118 : 4.0506760e-118 -7.7433070e-118 1.7624370e-118
   119 :  4.3309720e-46  2.6659850e-46 -1.1103400e-45
   120 :  1.2826670e-39 -4.3471180e-40  1.7382920e-39
   121 : 3.4485470e-113 -1.8029830e-113 9.7147530e-114
   122 :  1.5501470e-16 -5.9457340e-17  4.2348150e-17
   123 : -3.5939060e-126 1.9714470e-124 -1.4960750e-124
   124 : 1.1078150e-107 -5.4939500e-108 1.1998700e-108
   125 : -1.5812720e-06 -1.1055860e-06 -8.0847810e-07
   126 :  6.8468810e-15  1.5808230e-14 -5.5568170e-15
   127 : -1.6913580e-37 -2.5742840e-37  5.7475320e-37
   128 :  1.9159510e-09  1.4101590e-09  4.7395520e-10
   129 :  3.5781000e-23 -4.9852740e-24 -1.1321340e-23
   130 :  7.7065250e-88 -5.7452900e-88  4.4571800e-88
   131 : 2.4270110e-137 -1.2507200e-137 2.2192900e-138
   132 :  2.3400290e-51 -1.4352860e-51 -3.8028180e-52
   133 : -5.3533180e-02 -6.2303090e-02 -5.9693060e-02
   134 : -6.0054860e-51  2.7963320e-51 -3.4978830e-51
   135 : -1.5977430e-05 -1.2718000e-05 -8.1840190e-06
   136 : -3.6040640e-02 -3.1688850e-02 -4.0778750e-02
   137 : -1.7713100e-17 -2.3153740e-17  2.1773190e-17
   138 :  2.2615720e-29  2.8331850e-29 -8.9722190e-30
   139 :  1.3536320e-87 -5.0149390e-88 -3.6740300e-88
   140 :  9.8339250e-30 -1.6745000e-30  4.2143910e-30
   141 : -5.6424710e-13  6.1598790e-13  6.5742840e-13
   142 : 2.2004820e-112 -5.3313260e-112 1.4973780e-112
   143 :  1.9096300e-15  3.4396910e-15 -1.8557980e-15
