Number of elements 23380
     0 :  3.6362380e-28 -1.0231690e-27  3.6940430e-28
     1 :  2.0470220e-23  1.2576280e-22 -1.8272140e-23
     2 : 6.1254500e-113 7.7708510e-113 -1.7247890e-112
     3 : -6.0154190e-69  5.7670860e-69  9.1296450e-69
     4 : 1.0731110e-112 -5.6326370e-112 4.7487630e-112
     5 :  1.7207990e-69 -3.3894580e-69 -1.0336120e-68
     6 :  1.3611260e-16 -1.9371390e-15  5.1515930e-16
     7 :  3.8309040e-31  1.3264900e-31  1.1197230e-30
     8 : -1.5138800e-29  3.3399120e-29  3.5785880e-30
     9 :  2.6393060e-27 -4.1118500e-27 -4.7268190e-27
    10 : -1.2843740e-04  4.9362960e-04  7.4433960e-04
    11 : -2.5069020e-25 -4.8439940e-26 -1.5042730e-25
    12 :  1.9758600e-16  3.8424140e-16 -3.9729930e-17
    13 : -1.0312300e-20  1.7975190e-21  1.9091730e-21
    14 :  1.2165400e-10  1.5187880e-10  1.5077730e-11
    15 : -3.5142550e-24  1.2173910e-24 -3.5609180e-25
    16 :  1.1177750e-11  1.0100490e-11 -5.6491670e-12
    17 : -3.4461150e-25 -2.7509010e-24  8.9495290e-25
    18 :  9.2801840e-47 -1.2628580e-45  2.2651920e-46
    19 : -7.5236380e-28  4.2802710e-28 -1.1005600e-27
    20 :  3.4826220e-06 -1.4947100e-06  3.2862110e-06
    21 : -8.0316100e-16  6.4992330e-17 -2.3832190e-15
    22 :  1.0156340e-99  1.0165840e-99 -3.3256880e-99
    23 :  3.9397030e-07  9.5135660e-07 -1.7785000e-06
    24 : -7.1436920e-80  6.9111380e-80 -1.1685250e-79
    25 : -2.0372280e-07  4.2268060e-07  8.4585220e-07
    26 : -1.8995530e-15 -8.1849380e-13 -4.8583850e-13
    27 : -9.1722650e-10  4.1148090e-10  2.3529440e-09
    28 : -1.1156860e-02 -2.0742300e-02 -3.1057160e-02
    29 :  4.6104860e-21 -3.6645680e-21 -2.3703290e-21
    30 :  4.3022250e-07  3.6495200e-07  4.0223450e-07
    31 : -2.4557500e-74  1.2276480e-72 -2.4564790e-72
    32 :  5.1587400e-18 -1.2550060e-17 -7.9570290e-18
    33 :  6.2277420e-08 -4.6979430e-08  1.2954270e-07
    34 : -1.0388350e-28 -4.7081870e-29  2.1406370e-29
    35 :  8.2341840e-09  7.0122800e-09  2.9654550e-09
    36 :  5.1587580e-28 -8.3196530e-29  6.6785660e-28
    37 : -1.1425090e-20  1.4781980e-20 -3.2606000e-20
    38 :  1.3547560e-07 -1.2913930e-07 -4.4601910e-09
    39 : -7.4085320e-15 -1.7146270e-14  8.8534590e-16
    40 :  6.8743830e-96 -1.1129430e-96 -1.5694190e-95
    41 :  3.1703750e-02  5.5974280e-02  4.2054610e-02
    42 : -6.4274570e-32  3.8682690e-31 -1.7016130e-31
    43 :  7.0902770e-07  5.8329010e-07  5.6240680e-07
    44 :  1.0700580e-03  7.6080570e-04  4.3233780e-04
    45 : -9.3257700e-02 -6.2154970e-02 -7.8362810e-02
    46 :  1.8352490e-25 -3.2847180e-24  3.1407820e-24
    47 :  4.4808060e-28  1.1656880e-28 -3.2787860e-29
    48 : -6.3611120e-15  2.1903680e-15 -1.5758540e-15
    49 :  4.2209790e-02  3.6883370e-02  2.9078280e-02
    50 :  2.8025540e-10 -7.8447010e-10  3.3379690e-10
