Number of elements 23380
     0 : -7.9792000e-07  3.9475580e-08 -7.0941930e-07
     1 :  3.9397670e-04  4.2076200e-04  2.0110490e-04
     2 : -2.8668060e-72 -7.4346490e-72  4.9553880e-72
     3 : -3.9900220e-41  5.0398040e-41 -4.7840290e-41
     4 : -6.9772460e-72  4.3813670e-72 -6.4720020e-72
     5 : -6.8847540e-41  7.9906960e-41  1.0731990e-40
     6 : -5.7373900e-03  9.7102010e-03 -8.2338510e-03
     7 :  7.8185090e-08  2.0331250e-08  6.2788480e-08
     8 :  1.9639100e-07 -6.1145130e-07 -5.2051310e-07
     9 : -7.7145730e-11  1.4624150e-10  2.5626710e-10
    10 : -5.1870560e-03 -1.0326820e-02  4.3381430e-03
    11 : -2.9592320e-05 -5.3797250e-05 -2.4105430e-05
    12 : -7.1387510e-03 -7.3160080e-03 -3.5870360e-03
    13 : -3.4500060e-03  9.2410000e-04  6.4283160e-05
    14 : -2.6509360e-02 -2.4398570e-02 -2.0538030e-02
    15 :  7.0407670e-09  8.9414370e-09  1.9111010e-08
    16 : -1.3120080e-02 -1.2713050e-02 -1.9259290e-02
    17 :  3.7726790e-09  1.6691240e-08 -4.5703570e-09
    18 :  6.1605640e-24 -3.4439200e-24  5.7799290e-24
    19 :  4.1230660e-07 -7.9743160e-07  3.9343690e-07
    20 :  3.5415120e-03  3.3130290e-03  3.3348820e-03
    21 :  5.7772260e-03 -8.8485390e-03  1.1239800e-02
    22 :  2.0702030e-63  1.8025970e-63 -5.7538860e-63
    23 : -1.1193640e-02 -8.7408110e-03 -4.8620500e-04
    24 : -5.3429250e-49  3.3400660e-49 -8.3393160e-49
    25 : -2.4387990e-02 -1.2835650e-02 -1.0311550e-02
    26 :  1.0283570e-02  1.6800880e-02  1.6605760e-02
    27 : -3.1385500e-02 -2.9410450e-03  8.5660010e-04
    28 :  6.7767050e-02  5.3950250e-02  6.0207880e-02
    29 :  8.8821930e-05  2.0432810e-04 -1.6917700e-04
    30 : -2.5304670e-02 -2.4973620e-02 -2.3165700e-02
    31 : -1.9888420e-43  4.7947400e-43  3.2947340e-43
    32 :  2.3865330e-05 -4.0665240e-05  1.1014440e-06
    33 : -1.9281410e-02 -2.2280160e-02 -2.4630240e-02
    34 :  3.1432080e-06  3.4787350e-06  1.9597010e-06
    35 : -1.0829020e-02 -1.1373550e-02 -7.1383210e-03
    36 : -2.2160720e-06  3.8153550e-06  2.0374420e-06
    37 :  6.8129940e-03 -1.6497650e-04  1.0301540e-02
    38 :  1.0106990e-03  1.7331490e-03  3.6314470e-04
    39 :  9.6141310e-03  7.7963800e-03  7.3236490e-03
    40 :  5.3809670e-61  1.3917070e-60  6.2169560e-61
    41 :  6.4814830e-03  2.4919790e-02  1.4304040e-02
    42 : -3.6470140e-13 -7.1667460e-13  6.4650170e-13
    43 : -1.2877810e-02 -1.2184640e-02 -1.2585800e-02
    44 : -2.2354980e-02 -1.5833400e-02 -1.0258270e-02
    45 :  2.8027510e-03  9.7736270e-03  7.1183730e-03
    46 : -3.2543070e-03  2.1790650e-04  6.0021140e-03
    47 : -4.0547310e-05  6.4264660e-06 -2.7708670e-05
    48 :  3.9774330e-06  1.9483090e-03 -3.7587580e-04
    49 :  6.3297330e-02  6.4162460e-02  6.3994020e-02
    50 : -1.2778290e-02 -1.1248520e-02 -1.5572510e-02
    51 :  1.6994630e-06  3.2528760e-07  1.5409030e-06
    52 :  4.4896130e-02  5.8824080e-02  5.7413950e-02
    53 :  2.1321510e-46 -7.8385020e-46  8.2131290e-46
    54 : -7.3248510e-12  6.2632880e-11  2.8312660e-11
    55 :  2.1533190e-02  2.6476120e-02  2.4455790e-02
    56 :  1.4943600e-10 -1.0801550e-10  1.8700870e-10
    57 : -1.1572140e-02 -6.3376620e-03  9.2111950e-03
    58 : -5.1212290e-03 -6.3313840e-03 -5.3141330e-03
    59 :  8.2042720e-14 -6.3051080e-14  2.5144900e-13
    60 : -5.6798720e-08  2.9638330e-08  1.0744590e-07
    61 :  1.7398130e-10 -3.2409280e-11  1.5526720e-10
    62 : -1.3493200e-03  2.0649740e-04 -1.8510290e-04
    63 : -1.9484100e-02 -2.2576690e-02 -3.1630110e-02
    64 :  4.8687400e-04  8.2015510e-03  6.1648110e-03
    65 : -6.9066800e-40  1.9932860e-39 -6.3205840e-40
    66 :  1.4323480e-10  1.0703190e-10 -2.3820110e-11
    67 :  1.1696230e-01  8.9548910e-02  1.8409640e-01
    68 :  9.1221920e-04  3.1160160e-05 -2.0830930e-04
    69 :  7.1818310e-03  2.4537450e-02 -3.5676890e-02
    70 : -2.8688090e-02 -2.9351790e-02 -3.0990190e-02
    71 :  5.8153760e-02  6.3186120e-02  6.0420620e-02
    72 :  4.8551770e-20 -1.2996620e-19 -1.9642170e-19
    73 :  8.5768210e-18  4.0802370e-19 -1.9771170e-17
    74 :  8.9546060e-12 -2.2399880e-12 -8.4406750e-13
    75 : -1.5871190e-02 -1.7493530e-02 -1.8308160e-02
    76 :  6.1150980e-02  6.2816490e-02  6.3936280e-02
    77 : -6.3134810e-07 -3.6321740e-07 -1.6148600e-07
    78 :  4.0192630e-08 -4.2353370e-08 -7.5011770e-08
    79 : -5.9281330e-04 -4.3729100e-03 -4.8164550e-03
    80 :  4.5853620e-41  1.6322440e-41 -6.2532480e-41
    81 :  3.2094360e-02  3.5660770e-02  3.7115290e-02
    82 : -6.8657660e-10 -2.6190210e-10  5.2066050e-10
    83 : -5.7948880e-03 -2.7131790e-03 -3.0322060e-03
    84 : -1.9736440e-11  3.7859370e-10  4.4551670e-11
    85 : -1.0013370e-02 -1.1373380e-02 -2.6419890e-03
    86 :  2.2024620e-03  2.8899130e-03  3.4042930e-03
    87 :  7.8239700e-17  4.3370430e-15  1.2196350e-15
    88 : -8.8881240e-23  6.2407820e-23 -7.4506530e-23
    89 : -7.5310870e-03 -8.5441440e-03 -6.8491110e-03
    90 :  1.0412350e-03 -3.3014100e-04  3.4859890e-03
    91 :  9.0226680e-03  7.9113160e-03  1.7467140e-02
    92 :  7.1281630e-04  1.0284120e-04  3.7428250e-04
    93 :  1.6415880e-06 -2.9471380e-06  1.2261670e-06
    94 : -1.5520330e-02 -1.7042620e-02 -1.6143400e-02
    95 : -1.2698950e-02 -1.8692050e-02 -1.4568730e-02
    96 : -4.3792170e-04  1.2936910e-03  2.0693340e-04
    97 :  1.9803860e-02  1.4482250e-02  1.7585500e-02
    98 :  4.5806730e-04 -2.5851980e-03  8.2685900e-04
    99 :  5.6023840e-13  1.3739990e-12 -9.9750400e-13
   100 : -4.1707920e-37  6.9267620e-37 -1.6292970e-37
   101 : -9.8301190e-03 -1.4820230e-02 -9.1953840e-03
   102 : -2.5024050e-18  2.1643040e-19 -1.9535110e-19
   103 : -2.1573640e-08  3.6205740e-09  2.0765420e-08
   104 : -6.9532530e-03 -8.6964830e-03 -1.1095890e-02
   105 : -6.8960890e-25  2.5863960e-24 -8.8874040e-24
   106 :  2.4857270e-58 -1.9880400e-60 -1.4900350e-58
   107 :  1.1865530e-02  1.3782670e-02  1.0916870e-02
   108 : -4.5018340e-68 -5.0673440e-68  1.5896280e-67
   109 : -3.3804090e-03 -4.4167620e-03 -4.4500320e-03
   110 : -9.9342850e-38  5.8441440e-38 -1.3406740e-37
   111 : -1.1205250e-02 -1.2502480e-02 -1.2291470e-02
   112 :  1.5799570e-02  1.8553950e-02  2.8914340e-02
   113 : -3.7871070e-02 -5.2655440e-03  8.2407650e-03
   114 :  4.6978880e-58  1.1353430e-58 -5.7099720e-58
   115 : -2.2034850e-02 -2.9008880e-02 -3.1429260e-02
   116 :  3.4020640e-02  5.0293820e-02  5.3887580e-02
   117 : -3.7050760e-55  3.2660210e-55 -3.1853790e-56
   118 : -2.8365790e-63  8.7351660e-63 -2.9079170e-63
   119 : -2.3455370e-17 -3.5291760e-17  1.1980960e-16
   120 :  3.5990560e-08  1.3570040e-07  3.1356650e-08
   121 : -2.2199610e-60  1.9035950e-60 -6.6665940e-60
   122 :  1.1191110e-02  7.1948910e-03  1.2871690e-02
   123 : -1.7836320e-66  2.7871410e-66  8.4811060e-67
   124 :  2.1631750e-55 -3.6625440e-55  1.0863030e-54
   125 :  1.5053640e-03  9.3301690e-03  6.6059280e-04
   126 : -9.5317680e-03 -1.0707260e-02 -1.0629930e-02
   127 : -3.0599250e-06 -4.3856350e-06 -1.4602730e-05
   128 :  6.0982350e-03 -9.5422930e-03 -3.6567410e-03
   129 :  2.5848780e-02  6.1812100e-03  1.9213330e-02
   130 : -1.4900050e-44  3.7351320e-45 -1.6367520e-43
   131 : -2.8071670e-73  1.3215120e-73  4.3269070e-74
   132 :  3.9319980e-22  3.6112640e-21 -9.9432640e-21
   133 :  6.2912490e-02  6.2905210e-02  6.0588330e-02
   134 :  1.2022590e-20 -5.6133610e-21 -2.2669800e-21
   135 : -9.7250970e-03 -1.2119520e-02 -2.5033670e-03
   136 :  6.9446650e-02  6.5249940e-02  5.9340830e-02
   137 : -1.3949620e-03 -1.3614050e-03 -8.2615210e-04
   138 :  4.7127800e-02  4.5968540e-02  4.4302680e-02
   139 : -2.0146250e-44 -9.7294790e-45  9.4951250e-45
   140 :  2.5599020e-05 -2.8781670e-06  4.2251490e-06
   141 : -1.8598770e-02 -1.7341320e-02 -1.5397020e-02
   142 :  5.0076030e-68  8.6534390e-68 -4.8284130e-68
   143 :  1.7386400e-03  2.0176590e-03 -2.3503970e-03
   144 : -2.5053440e-61 -2.0851610e-61  5.7782360e-61
   145 : -3.3095240e-03 -1.4143720e-02 -2.0180980e-03
   146 : -2.2432600e-03 -2.0631910e-03  8.1812460e-03
   147 : -2.6835900e-74 -3.1230720e-74  8.2085010e-74
   148 : -3.2920280e-27  1.1983370e-26 -2.0766810e-27
   149 :  2.9335040e-34 -2.7147500e-34  9.8721890e-35
   150 : -3.1951880e-08 -5.5183700e-08  2.8308900e-08
   151 :  5.9500970e-07  6.6675980e-07  1.3687720e-06
   152 :  4.3236210e-03  5.0421410e-04  1.7195720e-02
   153 : -1.7735370e-27  4.2226710e-27 -2.5994250e-26
   154 :  8.1973360e-23  1.4188640e-22 -3.0467990e-22
   155 : -1.7561210e-04 -1.3404930e-02 -1.0507160e-02
   156 : -2.7943490e-03 -5.5144550e-03 -4.4502930e-03
   157 :  2.6147730e-02  1.1508160e-02  1.3292290e-02
   158 :  4.6840450e-02  2.1055470e-02 -5.4622010e-02
   159 : -1.2315180e-39 -9.9340210e-40  8.8484440e-40
   160 :  4.1159650e-05 -2.9495540e-05 -1.0637420e-04
   161 :  5.9850120e-04 -4.3680400e-03 -2.4170200e-03
   162 :  1.1050250e-03  8.7071960e-04 -5.6591450e-03
   163 : -2.2385830e-50 -1.0675880e-50  8.9192430e-51
   164 :  9.3945200e-06  1.9732760e-05 -6.4768610e-06
   165 : -3.8805190e-20 -3.9258200e-19  1.8293330e-19
   166 :  3.6688900e-02  3.5691230e-02  4.2123300e-02
   167 :  4.7959480e-02  3.6393790e-02  5.3263740e-02
   168 : -3.8893600e-02 -4.4397480e-02 -3.9405170e-02
   169 :  3.9971410e-60 -5.2760270e-60 -1.4365080e-59
   170 : -3.2623100e-09 -2.9055170e-10 -2.9925090e-09
   171 : -8.7490460e-03  1.9520900e-02 -1.5772360e-02
   172 :  3.4900410e-02  3.3757560e-02  3.3392230e-02
   173 :  6.7066440e-06  4.4887000e-06 -5.4406180e-06
   174 : -1.4951980e-02 -5.7159030e-02 -4.6690250e-02
   175 :  4.1042460e-14 -5.2775030e-14 -3.9966870e-14
   176 :  2.0049850e-49 -2.9305750e-49 -8.7015950e-50
   177 :  2.1841890e-02  1.1425640e-02  2.3918740e-02
   178 :  6.1355340e-02  9.6607000e-02  5.7512970e-02
   179 : -1.1493910e-06  7.3766630e-07  8.4931880e-07
   180 :  3.2027800e-02  3.1604720e-02  2.6463870e-02
   181 :  1.6594760e-17  2.5744920e-19  1.4949460e-17
   182 :  9.0932670e-04  8.7869070e-06  1.6506250e-04
   183 : -8.6408680e-05  2.8598480e-05 -1.0076780e-04
   184 :  6.6908120e-08 -3.2020830e-07  1.1661770e-07
   185 :  7.7208750e-03  9.8576130e-03 -5.5386910e-03
   186 :  2.2283560e-36 -1.4212080e-36  3.4399850e-36
   187 : -2.6477750e-03 -2.8037010e-03 -9.2210150e-04
   188 : -1.1240320e-48  8.0364180e-49 -8.1714760e-50
   189 :  1.6585760e-02  1.5054460e-02  7.9652620e-03
   190 : -8.9995240e-52  9.3296240e-52 -8.6897590e-52
   191 : -1.2780620e-55 -6.8508550e-55  2.8063040e-55
   192 :  1.6363400e-11 -2.2722780e-11 -1.1038500e-11
   193 :  6.3222010e-02  6.3773020e-02  6.2458890e-02
