Number of nodes 127
     0 : -4.9314064e+06  3.8235182e+06  7.8146156e+02
     1 : -4.9691739e+06  3.6609976e+06  3.9715148e+03
     2 : -4.8692323e+06  3.7348730e+06  1.1414786e+03
     3 : -5.2988510e+06  4.0074172e+06  5.7067055e+03
     4 : -5.4439591e+06  4.1393383e+06  5.6645397e+03
     5 : -5.4794335e+06  3.9536870e+06  4.0923170e+03
     6 : -5.0706032e+06  4.2637648e+06  1.0000000e+02
     7 : -5.1860742e+06  4.3372005e+06  1.2540667e+03
     8 : -5.1955238e+06  4.2371759e+06  4.5133798e+03
     9 : -5.1457907e+06  4.1751110e+06  1.6606596e+03
    10 : -5.0608318e+06  4.1309925e+06  1.0000000e+02
    11 : -4.6693155e+06  4.6107867e+06  1.0000000e+02
    12 : -4.3230864e+06  4.3329315e+06  3.0076502e+03
    13 : -4.2286106e+06  4.7540826e+06  2.0655688e+03
    14 : -4.6917471e+06  4.0162001e+06  1.0000000e+02
    15 : -4.4616673e+06  4.0149739e+06  2.4123369e+03
    16 : -4.6558711e+06  4.3318981e+06  1.0000000e+02
    17 : -4.4402286e+06  3.7895549e+06  1.6049113e+03
    18 : -4.2836968e+06  3.8029308e+06  3.6129716e+03
    19 : -4.8483725e+06  3.6414209e+06  1.9977622e+03
    20 : -4.8654591e+06  3.4891786e+06  7.1029488e+03
    21 : -3.8321805e+06  3.5548017e+06  1.0000000e+02
    22 : -3.9461571e+06  3.3388292e+06  1.3435239e+03
    23 : -3.7109258e+06  3.1608962e+06  1.0000000e+02
    24 : -4.5493366e+06  3.8248257e+06  1.0000000e+02
    25 : -5.0189866e+06  3.0982146e+06  5.4177010e+03
    26 : -4.8104084e+06  2.5898922e+06  4.9984281e+03
    27 : -4.7059389e+06  2.8592365e+06  8.2384863e+03
    28 : -4.3312754e+06  6.0306954e+06  1.0000000e+02
    29 : -4.7066435e+06  5.5369964e+06  2.9562778e+02
    30 : -4.2634736e+06  5.5847216e+06  1.3834544e+02
    31 : -4.2735933e+06  3.5288737e+06  1.0000000e+02
    32 : -4.1091200e+06  3.4473804e+06  9.8519234e+02
    33 : -4.1788713e+06  3.6351525e+06  3.5020696e+03
    34 : -3.9799997e+06  3.5931138e+06  2.6013378e+03
    35 : -5.3433354e+06  4.3037004e+06  3.1122231e+03
    36 : -4.8920310e+06  4.6985560e+06  1.0000000e+02
    37 : -5.2160783e+06  4.5291106e+06  1.6677181e+03
    38 : -4.9702184e+06  4.3770869e+06  5.4703454e+02
    39 : -6.3909714e+06  3.1160033e+06  5.5780263e+03
    40 : -5.9192674e+06  2.4092859e+06  4.2398559e+03
    41 : -5.5964692e+06  2.8613271e+06  5.7664683e+03
    42 : -4.6798761e+06  5.1209699e+06  1.0000000e+02
    43 : -5.0723287e+06  5.2294393e+06  4.5133816e+03
    44 : -4.8945547e+06  4.9756658e+06  2.7254080e+03
    45 : -3.9844509e+06  2.6309498e+06  8.7055977e+02
    46 : -4.2074866e+06  2.9145748e+06  3.1945587e+03
    47 : -4.3153710e+06  2.6120206e+06  3.4244479e+03
    48 : -4.9519052e+06  4.0492695e+06  1.0000000e+02
    49 : -5.0039342e+06  3.9262319e+06  1.2321232e+03
    50 : -4.8680697e+06  3.9416035e+06  1.0000000e+02
    51 : -4.6342275e+06  3.6534419e+06  1.0000000e+02
    52 : -4.6324017e+06  3.5332282e+06  1.6059673e+03
    53 : -4.5116456e+06  3.5996258e+06  1.0000000e+02
    54 : -6.5003950e+06  4.0588397e+06  5.7296809e+03
    55 : -7.0095022e+06  4.4394214e+06  5.8397204e+03
    56 : -7.3596227e+06  3.5534057e+06  5.3494621e+03
    57 : -5.2563399e+06  4.1482655e+06  6.3379416e+03
    58 : -4.7537956e+06  3.7146472e+06  1.0000000e+02
    59 : -4.7406640e+06  3.5737240e+06  1.3250059e+03
    60 : -4.2061574e+06  2.3340841e+06  2.3976101e+03
    61 : -5.2768381e+06  2.5454496e+06  5.6849526e+03
    62 : -4.5132355e+06  3.6792482e+06  1.0000000e+02
    63 : -5.0654957e+06  4.0190935e+06  1.6640601e+03
    64 : -3.8623514e+06  3.7935697e+06  1.0000000e+02
    65 : -4.8218677e+06  6.0419486e+06  2.9033496e+02
    66 : -5.5356232e+06  3.2366681e+06  6.0294355e+03
    67 : -6.3650979e+06  5.1553729e+06  1.8720257e+03
    68 : -5.9104518e+06  4.9829568e+06  3.5123542e+03
    69 : -5.9691873e+06  5.5357469e+06  4.9233377e+03
    70 : -4.1443215e+06  5.1432641e+06  1.0000000e+02
    71 : -3.8628597e+06  4.8282939e+06  3.5963411e+02
    72 : -4.7030076e+06  3.3760666e+06  5.0241017e+03
    73 : -5.1604056e+06  4.0690333e+06  2.4563665e+03
    74 : -4.4402652e+06  4.9939717e+06  1.0000000e+02
    75 : -4.6211366e+06  3.1302040e+06  2.5176672e+03
    76 : -3.6149179e+06  2.6769017e+06  1.0000000e+02
    77 : -3.6673926e+06  2.4380290e+06  1.4243651e+03
    78 : -4.8092350e+06  3.8377397e+06  1.0000000e+02
    79 : -5.1993647e+06  5.6656068e+06  3.5921284e+03
    80 : -4.5045538e+06  3.3395370e+06  1.0000000e+02
    81 : -4.3976694e+06  3.1519265e+06  1.0000000e+02
    82 : -4.4505950e+06  2.9084387e+06  5.5565593e+02
    83 : -5.0471152e+06  3.4789734e+06  5.3638094e+03
    84 : -4.8753929e+06  2.2077932e+06  5.2259385e+03
    85 : -4.4020920e+06  2.2039474e+06  1.9576845e+03
    86 : -4.5953413e+06  2.3297315e+06  7.1365804e+03
    87 : -4.5327481e+06  2.0103962e+06  5.6265566e+03
    88 : -5.7496289e+06  3.7744060e+06  5.8144585e+03
    89 : -4.6241049e+06  4.8648855e+06  1.0000000e+02
    90 : -4.3838368e+06  5.2790870e+06  1.0000000e+02
    91 : -5.3704648e+06  4.7803295e+06  3.6549182e+03
    92 : -5.3053647e+06  5.0419774e+06  3.8124387e+03
    93 : -5.5633728e+06  4.9132770e+06  3.5624345e+03
    94 : -5.5190314e+06  5.2746145e+06  4.7818659e+03
    95 : -4.0097847e+06  4.5102553e+06  3.0439765e+03
    96 : -5.7088311e+06  4.4260365e+06  8.9112473e+03
    97 : -4.4241362e+06  2.4157210e+06  2.8595860e+03
    98 : -4.1972932e+06  3.3132622e+06  1.0000000e+02
    99 : -4.1588642e+06  3.1900838e+06  1.0000000e+02
   100 : -3.6948075e+06  4.5266808e+06  1.0000000e+02
   101 : -3.9539779e+06  4.2001092e+06  3.4957537e+03
   102 : -3.6731870e+06  4.2159404e+06  1.0000000e+02
   103 : -4.0230467e+06  3.8633094e+06  3.6171202e+03
   104 : -5.0880768e+06  4.3534906e+06  2.9164352e+02
   105 : -3.9918901e+06  2.2266279e+06  1.2783265e+03
   106 : -4.2032830e+06  4.0513101e+06  3.2641073e+03
   107 : -4.0082918e+06  3.0043966e+06  1.0000000e+02
   108 : -5.3208046e+06  3.8008974e+06  5.3597587e+03
   109 : -5.2826438e+06  3.4717382e+06  5.6970557e+03
   110 : -5.1486489e+06  3.6302071e+06  5.6852737e+03
   111 : -3.8489025e+06  3.9473773e+06  1.0000000e+02
   112 : -5.4042245e+06  1.9115382e+06  5.6787579e+03
   113 : -4.5365420e+06  2.6261520e+06  4.5076943e+02
   114 : -5.1073503e+06  4.8571732e+06  4.0696149e+03
   115 : -4.5667249e+06  3.4890213e+06  1.2415647e+03
